,PFG
2020-05-07,30.303457260131836
2020-05-08,31.906721115112305
2020-05-11,30.570663452148438
2020-05-12,29.167800903320312
2020-05-13,27.147016525268555
2020-05-14,28.07390785217285
2020-05-15,28.26597023010254
2020-05-18,30.70427131652832
2020-05-19,29.47676658630371
2020-05-20,30.1614990234375
2020-05-21,30.896329879760742
2020-05-22,30.837881088256836
2020-05-26,32.674949645996094
2020-05-27,34.228126525878906
2020-05-28,34.06946563720703
2020-05-29,32.69788360595703
2020-06-01,33.45988082885742
2020-06-02,33.62073516845703
2020-06-03,36.431644439697266
2020-06-04,37.794761657714844
2020-06-05,39.835205078125
2020-06-08,41.24911880493164
2020-06-09,40.021461486816406
2020-06-10,37.5407600402832
2020-06-11,33.90860366821289
2020-06-12,35.45798110961914
2020-06-15,36.41469955444336
2020-06-16,37.4222297668457
2020-06-17,36.279239654541016
2020-06-18,35.771244049072266
2020-06-19,35.70351028442383
2020-06-22,34.92458724975586
2020-06-23,35.46644973754883
2020-06-24,33.476806640625
2020-06-25,33.866268157958984
2020-06-26,33.138145446777344
2020-06-29,34.1626091003418
2020-06-30,35.17011642456055
2020-07-01,34.001731872558594
2020-07-02,34.535125732421875
2020-07-06,35.77970504760742
2020-07-07,34.72138977050781
2020-07-08,35.44951248168945
2020-07-09,33.7392692565918
2020-07-10,35.46644973754883
2020-07-13,35.44104766845703
2020-07-14,36.00830841064453
2020-07-15,37.727027893066406
2020-07-16,37.8963508605957
2020-07-17,37.6846923828125
2020-07-20,37.134361267089844
2020-07-21,37.93022155761719
2020-07-22,38.082618713378906
2020-07-23,38.116485595703125
2020-07-24,37.904823303222656
2020-07-27,37.85402297973633
2020-07-28,36.77030563354492
2020-07-29,37.15129852294922
2020-07-30,35.94058609008789
2020-07-31,35.92364501953125
2020-08-03,36.38084030151367
2020-08-04,36.60944366455078
2020-08-05,37.803218841552734
2020-08-06,36.36391067504883
2020-08-07,37.52382278442383
2020-08-10,38.57367706298828
2020-08-11,39.098609924316406
2020-08-12,38.46361541748047
2020-08-13,38.00642395019531
2020-08-14,38.28580856323242
2020-08-17,37.59156036376953
2020-08-18,37.04969787597656
2020-08-19,36.99043273925781
2020-08-20,36.5247688293457
2020-08-21,36.07604217529297
2020-08-24,37.77782440185547
2020-08-25,37.51536178588867
2020-08-26,37.00735855102539
2020-08-27,37.5407600402832
2020-08-28,37.53228759765625
2020-08-31,36.10886001586914
2020-09-01,36.769134521484375
2020-09-02,37.129268646240234
2020-09-03,36.46043395996094
2020-09-04,37.23217010498047
2020-09-08,36.09170913696289
2020-09-09,35.88591003417969
2020-09-10,34.9598274230957
2020-09-11,35.21707534790039
2020-09-14,35.43144989013672
2020-09-15,34.25668716430664
2020-09-16,35.68011474609375
2020-09-17,35.405723571777344
2020-09-18,34.4367561340332
2020-09-21,33.44206237792969
2020-09-22,33.28772735595703
2020-09-23,32.404510498046875
2020-09-24,32.78180694580078
2020-09-25,33.12479782104492
2020-09-28,34.38531494140625
2020-09-29,34.35100555419922
2020-09-30,34.53108596801758
2020-10-01,34.60824966430664
2020-10-02,35.19991683959961
2020-10-05,35.91163635253906
2020-10-06,35.78302001953125
2020-10-07,36.9492073059082
2020-10-08,37.25788879394531
2020-10-09,36.41755676269531
2020-10-12,36.700523376464844
2020-10-13,35.371421813964844
2020-10-14,35.36284255981445
2020-10-15,35.637245178222656
2020-10-16,35.32855224609375
2020-10-19,35.04557418823242
2020-10-20,35.34569549560547
2020-10-21,35.23422622680664
2020-10-22,36.82057571411133
2020-10-23,37.31792449951172
2020-10-26,36.00596618652344
2020-10-27,33.742183685302734
2020-10-28,32.798954010009766
2020-10-29,33.54496383666992
2020-10-30,33.63072204589844
2020-11-02,34.05088806152344
2020-11-03,35.843040466308594
2020-11-04,35.774444580078125
2020-11-05,36.88059616088867
2020-11-06,35.474308013916016
2020-11-09,40.850772857666016
2020-11-10,40.507781982421875
2020-11-11,39.058624267578125
2020-11-12,38.23542785644531
2020-11-13,39.70174026489258
2020-11-16,41.43386459350586
2020-11-17,42.008384704589844
2020-11-18,42.008384704589844
2020-11-19,41.956932067871094
2020-11-20,42.016963958740234
2020-11-23,43.42323684692383
2020-11-24,45.103919982910156
2020-11-25,44.58942794799805
2020-11-27,44.07493591308594
2020-11-30,42.69437789916992
2020-12-01,43.032596588134766
2020-12-02,44.10798645019531
2020-12-03,44.54159927368164
2020-12-04,45.33946228027344
2020-12-07,43.9778938293457
2020-12-08,44.02994155883789
2020-12-09,43.405513763427734
2020-12-10,43.20604705810547
2020-12-11,42.29543685913086
2020-12-14,41.47156524658203
2020-12-15,41.92253494262695
2020-12-16,41.81846618652344
2020-12-17,41.97455596923828
2020-12-18,41.58430480957031
2020-12-21,41.194053649902344
2020-12-22,41.10732650756836
2020-12-23,42.09598159790039
2020-12-24,42.0439453125
2020-12-28,42.2173957824707
2020-12-29,41.96588134765625
2020-12-30,42.304115295410156
2020-12-31,43.02393341064453
2021-01-04,41.896514892578125
2021-01-05,42.330135345458984
2021-01-06,44.31611633300781
2021-01-07,44.87115478515625
2021-01-08,44.975223541259766
2021-01-11,44.923194885253906
2021-01-12,45.582298278808594
2021-01-13,45.703712463378906
2021-01-14,46.570953369140625
2021-01-15,46.232730865478516
2021-01-19,47.108646392822266
2021-01-20,46.55360794067383
2021-01-21,46.380165100097656
2021-01-22,46.36281204223633
2021-01-25,45.998573303222656
2021-01-26,45.41752243041992
2021-01-27,44.41151428222656
2021-01-28,45.57361602783203
2021-01-29,42.72906494140625
2021-02-01,43.47489929199219
2021-02-02,43.87382507324219
2021-02-03,44.35948944091797
2021-02-04,45.807777404785156
2021-02-05,45.62565612792969
2021-02-08,46.88315963745117
2021-02-09,47.17802429199219
2021-02-10,47.02191162109375
2021-02-11,46.874488830566406
2021-02-12,46.943878173828125
2021-02-16,47.25606918334961
2021-02-17,47.06528854370117
2021-02-18,46.31945037841797
2021-02-19,47.785091400146484
2021-02-22,51.67033767700195
2021-02-23,50.88982391357422
2021-02-24,52.424842834472656
2021-02-25,50.620967864990234
2021-02-26,49.54393768310547
2021-03-01,50.97123718261719
2021-03-02,50.61222457885742
2021-03-03,50.70854568481445
2021-03-04,49.622737884521484
2021-03-05,51.38278579711914
2021-03-08,52.678741455078125
2021-03-09,52.34599685668945
2021-03-10,53.65070724487305
2021-03-11,53.5018424987793
2021-03-12,53.8958854675293
2021-03-15,53.65070724487305
2021-03-16,52.29344940185547
2021-03-17,52.775054931640625
2021-03-18,53.0465087890625
2021-03-19,52.8801383972168
2021-03-22,52.162105560302734
2021-03-23,50.73481750488281
2021-03-24,50.74356460571289
2021-03-25,52.275943756103516
2021-03-26,53.090293884277344
2021-03-29,52.36350631713867
2021-03-30,53.09905242919922
2021-03-31,52.50360870361328
2021-04-01,53.29168701171875
2021-04-05,53.76454544067383
2021-04-06,54.053497314453125
2021-04-07,54.28992462158203
2021-04-08,53.77329635620117
2021-04-09,54.25490188598633
2021-04-12,55.06049346923828
2021-04-13,54.482574462890625
2021-04-14,55.209346771240234
2021-04-15,55.29691696166992
2021-04-16,55.35820770263672
2021-04-19,55.39323806762695
2021-04-20,53.85210418701172
2021-04-21,55.069252014160156
2021-04-22,53.97469711303711
2021-04-23,54.91164016723633
2021-04-26,54.587642669677734
2021-04-27,55.078006744384766
2021-04-28,55.7697639465332
2021-04-29,56.242610931396484
2021-04-30,55.9273796081543
2021-05-03,56.461524963378906
2021-05-04,56.619140625
2021-05-05,57.52104949951172
2021-05-06,58.29161834716797
2021-05-07,58.37043380737305
2021-05-10,58.501773834228516
2021-05-11,56.75048065185547
2021-05-12,55.53334045410156
2021-05-13,57.170799255371094
2021-05-14,58.519287109375
2021-05-17,58.554317474365234
2021-05-18,57.51229476928711
2021-05-19,56.986907958984375
2021-05-20,56.881832122802734
2021-05-21,57.49479293823242
2021-05-24,57.58234786987305
2021-05-25,56.0324592590332
2021-05-26,56.724205017089844
2021-05-27,57.15327072143555
2021-05-28,57.258358001708984
2021-06-01,57.993896484375
2021-06-02,57.85248565673828
2021-06-03,58.082279205322266
2021-06-04,58.27671813964844
2021-06-07,57.905513763427734
2021-06-08,58.47113800048828
2021-06-09,57.51665496826172
2021-06-10,56.898006439208984
2021-06-11,57.33106231689453
2021-06-14,56.7742805480957
2021-06-15,57.04825973510742
2021-06-16,56.99522399902344
2021-06-17,54.62668991088867
2021-06-18,52.7972526550293
2021-06-21,54.45876693725586
2021-06-22,54.5648193359375
2021-06-23,55.01555633544922
2021-06-24,55.60768508911133
2021-06-25,56.88032913208008
2021-06-28,55.802120208740234
2021-06-29,55.64303207397461
2021-06-30,55.84629821777344
2021-07-01,56.1556282043457
2021-07-02,55.91700744628906
2021-07-06,54.62668991088867
2021-07-07,54.670875549316406
2021-07-08,52.97400665283203
2021-07-09,54.7857666015625
2021-07-12,55.23649215698242
2021-07-13,54.361549377441406
2021-07-14,54.27316665649414
2021-07-15,54.44108200073242
2021-07-16,53.901981353759766
2021-07-19,52.320011138916016
2021-07-20,54.414573669433594
2021-07-21,55.73141098022461
2021-07-22,54.803443908691406
2021-07-23,54.96251678466797
2021-07-26,55.36022186279297
2021-07-27,55.28068542480469
2021-07-28,55.209983825683594
2021-07-29,55.581172943115234
2021-07-30,54.90950012207031
