,VLO
2015-01-16,30.53792381286621
2015-01-20,31.28455924987793
2015-01-21,31.741947174072266
2015-01-22,32.28678894042969
2015-01-23,33.73969650268555
2015-01-26,34.432518005371094
2015-01-27,34.459415435791016
2015-01-28,34.647762298583984
2015-01-29,35.03117752075195
2015-01-30,35.56928634643555
2015-02-02,36.61859130859375
2015-02-03,36.57823181152344
2015-02-04,36.5177116394043
2015-02-05,37.00201416015625
2015-02-06,36.90110397338867
2015-02-09,36.89433288574219
2015-02-10,37.61935043334961
2015-02-11,37.51093292236328
2015-02-12,38.317256927490234
2015-02-13,39.706295013427734
2015-02-17,39.79437255859375
2015-02-18,40.160282135009766
2015-02-19,40.77687454223633
2015-02-20,41.14277267456055
2015-02-23,42.3488655090332
2015-02-24,41.73904037475586
2015-02-25,41.515438079833984
2015-02-26,41.9897575378418
2015-02-27,41.800018310546875
2015-03-02,39.753726959228516
2015-03-03,40.70911407470703
2015-03-04,40.03153610229492
2015-03-05,40.6278190612793
2015-03-06,39.801151275634766
2015-03-09,39.706295013427734
2015-03-10,39.14390182495117
2015-03-11,39.12358093261719
2015-03-12,39.15068435668945
2015-03-13,39.65885925292969
2015-03-16,40.424537658691406
2015-03-17,40.587162017822266
2015-03-18,41.98295974731445
2015-03-19,41.196983337402344
2015-03-20,41.70515823364258
2015-03-23,42.342098236083984
2015-03-24,42.05751419067383
2015-03-25,43.21617889404297
2015-03-26,42.94513702392578
2015-03-27,41.9219856262207
2015-03-30,43.2026252746582
2015-03-31,43.107765197753906
2015-04-01,42.99256896972656
2015-04-02,40.5193977355957
2015-04-06,40.33646011352539
2015-04-07,39.69952392578125
2015-04-08,39.71984100341797
2015-04-09,39.923126220703125
2015-04-10,40.471961975097656
2015-04-13,38.9338493347168
2015-04-14,38.750892639160156
2015-04-15,38.69670486450195
2015-04-16,39.47592544555664
2015-04-17,39.00161361694336
2015-04-20,38.94063186645508
2015-04-21,39.52335739135742
2015-04-22,40.21448516845703
2015-04-23,40.133182525634766
2015-04-24,40.68878173828125
2015-04-27,40.24835205078125
2015-04-28,39.7740592956543
2015-04-29,39.245540618896484
2015-04-30,38.55440902709961
2015-05-01,39.909568786621094
2015-05-04,39.37428665161133
2015-05-05,39.31329345703125
2015-05-06,38.974510192871094
2015-05-07,39.1574592590332
2015-05-08,40.038307189941406
2015-05-11,39.75178909301758
2015-05-12,39.24696731567383
2015-05-13,39.758609771728516
2015-05-14,40.78873062133789
2015-05-15,40.672767639160156
2015-05-18,41.21168899536133
2015-05-19,40.85013198852539
2015-05-20,41.088905334472656
2015-05-21,41.348140716552734
2015-05-22,41.60736846923828
2015-05-26,40.61135482788086
2015-05-27,40.352134704589844
2015-05-28,40.19521713256836
2015-05-29,40.41352844238281
2015-06-01,40.09971618652344
2015-06-02,39.91552734375
2015-06-03,39.40386962890625
2015-06-04,38.80352783203125
2015-06-05,39.390220642089844
2015-06-08,39.30835723876953
2015-06-09,38.98773193359375
2015-06-10,39.71085739135742
2015-06-11,40.6932258605957
2015-06-12,40.1474609375
2015-06-15,39.88823318481445
2015-06-16,40.19521713256836
2015-06-17,40.665931701660156
2015-06-18,41.11620330810547
2015-06-19,41.15712356567383
2015-06-22,40.87742614746094
2015-06-23,41.71653366088867
2015-06-24,41.348140716552734
2015-06-25,41.14346694946289
2015-06-26,41.54597854614258
2015-06-29,41.31402587890625
2015-06-30,42.70571517944336
2015-07-01,43.98143768310547
2015-07-02,44.151973724365234
2015-07-06,44.5749397277832
2015-07-07,44.10422134399414
2015-07-08,43.64714050292969
2015-07-09,43.735843658447266
2015-07-10,44.92287063598633
2015-07-13,45.61870193481445
2015-07-14,45.236671447753906
2015-07-15,44.47261428833008
2015-07-16,46.021209716796875
2015-07-17,46.348655700683594
2015-07-20,45.4140625
2015-07-21,45.24350357055664
2015-07-22,45.48228073120117
2015-07-23,44.83418655395508
2015-07-24,44.820526123046875
2015-07-27,43.92002868652344
2015-07-28,44.3907470703125
2015-07-29,45.05248260498047
2015-07-30,43.81769943237305
2015-07-31,45.03275680541992
2015-08-03,44.387474060058594
2015-08-04,44.229591369628906
2015-08-05,44.497310638427734
2015-08-06,45.08768081665039
2015-08-07,44.90919494628906
2015-08-10,47.36677169799805
2015-08-11,48.34843826293945
2015-08-12,48.183685302734375
2015-08-13,47.833580017089844
2015-08-14,46.76266860961914
2015-08-17,47.86103820800781
2015-08-18,47.68941879272461
2015-08-19,46.59105682373047
2015-08-20,46.16543960571289
2015-08-21,41.97108459472656
2015-08-24,40.17250442504883
2015-08-25,39.54783630371094
2015-08-26,40.39905548095703
2015-08-27,40.05581283569336
2015-08-28,40.502037048339844
2015-08-31,40.73543167114258
2015-09-01,39.40366744995117
2015-09-02,40.50889205932617
2015-09-03,40.776611328125
2015-09-04,40.131324768066406
2015-09-08,41.758270263671875
2015-09-09,42.31431579589844
2015-09-10,43.213600158691406
2015-09-11,43.1861457824707
2015-09-14,41.68962478637695
2015-09-15,42.17702865600586
2015-09-16,41.394447326660156
2015-09-17,41.59352111816406
2015-09-18,41.126712799072266
2015-09-21,40.9756965637207
2015-09-22,40.653045654296875
2015-09-23,41.06494140625
2015-09-24,41.05121612548828
2015-09-25,41.74454116821289
2015-09-28,39.733184814453125
2015-09-29,40.323543548583984
2015-09-30,41.25715255737305
2015-10-01,42.7262077331543
2015-10-02,43.316566467285156
2015-10-05,44.33256149291992
2015-10-06,43.89320373535156
2015-10-07,44.33940887451172
2015-10-08,45.10826873779297
2015-10-09,44.07169723510742
2015-10-12,44.27764892578125
2015-10-13,42.671287536621094
2015-10-14,42.135833740234375
2015-10-15,43.4813346862793
2015-10-16,43.762779235839844
2015-10-19,42.17015838623047
2015-10-20,41.2434196472168
