,KLAC
2018-12-28,81.199462890625
2018-12-31,81.98736572265625
2019-01-02,83.28832244873047
2019-01-03,78.61588287353516
2019-01-04,83.6456298828125
2019-01-07,84.83666229248047
2019-01-08,83.48988342285156
2019-01-09,85.64286041259766
2019-01-10,85.85359191894531
2019-01-11,86.1467514038086
2019-01-14,84.68089294433594
2019-01-15,84.76334381103516
2019-01-16,83.33412170410156
2019-01-17,85.12982177734375
2019-01-18,87.7042236328125
2019-01-22,85.39549255371094
2019-01-23,84.14949798583984
2019-01-24,90.04960632324219
2019-01-25,92.88969421386719
2019-01-28,93.1553955078125
2019-01-29,92.52322387695312
2019-01-30,97.09488677978516
2019-01-31,97.63542938232422
2019-02-01,97.99273681640625
2019-02-04,98.0568618774414
2019-02-05,97.82781982421875
2019-02-06,98.78060913085938
2019-02-07,96.63680267333984
2019-02-08,96.74675750732422
2019-02-11,96.76508331298828
2019-02-12,98.21261596679688
2019-02-13,98.8355941772461
2019-02-14,98.84483337402344
2019-02-15,99.81353759765625
2019-02-19,99.87810516357422
2019-02-20,104.13116455078125
2019-02-21,104.24190521240234
2019-02-22,105.62574005126953
2019-02-25,106.79742431640625
2019-02-26,107.12957763671875
2019-02-27,106.0040054321289
2019-02-28,106.54833221435547
2019-03-01,106.81588745117188
2019-03-04,107.67387390136719
2019-03-05,106.31771087646484
2019-03-06,105.63499450683594
2019-03-07,105.75492095947266
2019-03-08,105.12757110595703
2019-03-11,107.87686157226562
2019-03-12,107.63699340820312
2019-03-13,107.83072662353516
2019-03-14,108.1167221069336
2019-03-15,110.35858154296875
2019-03-18,110.59844207763672
2019-03-19,110.85677337646484
2019-03-20,110.64459228515625
2019-03-21,114.2149429321289
2019-03-22,111.19812774658203
2019-03-25,110.15559387207031
2019-03-26,110.74606323242188
2019-03-27,108.95626068115234
2019-03-28,108.37503814697266
2019-03-29,110.16484832763672
2019-04-01,112.701904296875
2019-04-02,112.5081787109375
2019-04-03,114.46405029296875
2019-04-04,114.39024353027344
2019-04-05,114.7131118774414
2019-04-08,115.06371307373047
2019-04-09,112.67424011230469
2019-04-10,113.7905502319336
2019-04-11,113.39385223388672
2019-04-12,113.87360382080078
2019-04-15,112.78496551513672
2019-04-16,114.72235870361328
2019-04-17,114.14115905761719
2019-04-18,114.58397674560547
2019-04-22,113.54146575927734
2019-04-23,113.62449645996094
2019-04-24,115.91249084472656
2019-04-25,115.7003173828125
2019-04-26,116.0508804321289
2019-04-29,116.29075622558594
2019-04-30,117.61002349853516
2019-05-01,116.20770263671875
2019-05-02,118.24658966064453
2019-05-03,118.52335357666016
2019-05-06,114.96224212646484
2019-05-07,107.90452575683594
2019-05-08,105.68112182617188
2019-05-09,105.29362487792969
2019-05-10,105.19215393066406
2019-05-13,100.40398406982422
2019-05-14,101.78816986083984
2019-05-15,102.51274871826172
2019-05-16,101.05426025390625
2019-05-17,100.88705444335938
2019-05-20,98.10938262939453
2019-05-21,99.24275970458984
2019-05-22,98.36951446533203
2019-05-23,97.10611724853516
2019-05-24,96.43722534179688
2019-05-28,95.44324493408203
2019-05-29,96.04706573486328
2019-05-30,97.07823944091797
2019-05-31,95.74980163574219
2019-06-03,94.5514144897461
2019-06-04,97.84000396728516
2019-06-05,98.75968170166016
2019-06-06,100.19961547851562
2019-06-07,101.64879608154297
2019-06-10,105.40188598632812
2019-06-11,106.1172103881836
2019-06-12,102.28050994873047
2019-06-13,103.06084442138672
2019-06-14,101.9089126586914
2019-06-17,100.2646484375
2019-06-18,103.68328094482422
2019-06-19,104.287109375
2019-06-20,105.70844268798828
2019-06-21,105.83848571777344
2019-06-24,105.17891693115234
2019-06-25,105.0395736694336
2019-06-26,108.5511245727539
2019-06-27,109.3779067993164
2019-06-28,109.80522918701172
2019-07-01,113.07522583007812
2019-07-02,111.1336669921875
2019-07-03,110.60415649414062
2019-07-05,109.52654266357422
2019-07-08,109.01560974121094
2019-07-09,109.41505432128906
2019-07-10,111.11510467529297
2019-07-11,111.53314208984375
2019-07-12,114.19001770019531
