,GRMN
2014-11-06,40.09763717651367
2014-11-07,39.92246627807617
2014-11-10,40.56474685668945
2014-11-11,40.73259735107422
2014-11-12,40.9150505065918
2014-11-13,40.82016372680664
2014-11-14,40.83478546142578
2014-11-17,40.73259735107422
2014-11-18,41.33837127685547
2014-11-19,43.199466705322266
2014-11-20,42.87104797363281
2014-11-21,43.00970458984375
2014-11-24,43.520599365234375
2014-11-25,41.55731964111328
2014-11-26,41.652191162109375
2014-11-28,41.820068359375
2014-12-01,41.046424865722656
2014-12-02,41.163204193115234
2014-12-03,41.498939514160156
2014-12-04,41.02452850341797
2014-12-05,40.83478546142578
2014-12-08,40.58662414550781
2014-12-09,40.90776824951172
2014-12-10,40.09763717651367
2014-12-11,39.228816986083984
2014-12-12,38.56617736816406
2014-12-15,38.48517990112305
2014-12-16,38.46308898925781
2014-12-17,39.302452087402344
2014-12-18,40.03135681152344
2014-12-19,39.24355697631836
2014-12-22,39.12574768066406
2014-12-23,39.28772735595703
2014-12-24,39.65587615966797
2014-12-26,39.61905288696289
2014-12-29,39.58223342895508
2014-12-30,39.14783477783203
2014-12-31,38.897499084472656
2015-01-02,38.71343994140625
2015-01-05,37.645843505859375
2015-01-06,37.189334869384766
2015-01-07,37.88144302368164
2015-01-08,37.88144302368164
2015-01-09,37.87408447265625
2015-01-12,37.88144302368164
2015-01-13,37.94770050048828
2015-01-14,38.13913345336914
2015-01-15,37.417579650878906
2015-01-16,38.897499084472656
2015-01-20,38.74288558959961
2015-01-21,38.7281608581543
2015-01-22,39.12574768066406
2015-01-23,39.030029296875
2015-01-26,39.979827880859375
2015-01-27,38.919593811035156
2015-01-28,38.28639221191406
2015-01-29,38.65452575683594
2015-01-30,38.551456451416016
2015-02-02,38.7281608581543
2015-02-03,39.501258850097656
2015-02-04,39.19200897216797
2015-02-05,39.34664535522461
2015-02-06,39.331905364990234
2015-02-09,39.61905288696289
2015-02-10,39.839927673339844
2015-02-11,39.9871940612793
2015-02-12,41.16523361206055
2015-02-13,41.179962158203125
2015-02-17,41.82787322998047
2015-02-18,37.33659744262695
2015-02-19,37.343971252441406
2015-02-20,36.386802673339844
2015-02-23,36.372074127197266
2015-02-24,36.519325256347656
2015-02-25,36.408878326416016
2015-02-26,36.394161224365234
2015-02-27,36.54142761230469
2015-03-02,37.145164489746094
2015-03-03,36.59295654296875
2015-03-04,36.31316375732422
2015-03-05,37.33659744262695
2015-03-06,36.54877853393555
2015-03-09,36.372074127197266
2015-03-10,36.44570541381836
2015-03-11,36.460426330566406
2015-03-12,36.185325622558594
2015-03-13,35.68720245361328
2015-03-16,36.23738479614258
2015-03-17,36.044063568115234
2015-03-18,36.22251892089844
2015-03-19,35.791290283203125
2015-03-20,36.79499435424805
2015-03-23,36.72808837890625
2015-03-24,36.48272705078125
2015-03-25,35.70207214355469
2015-03-26,35.293155670166016
2015-03-27,35.434417724609375
2015-03-30,35.78384780883789
2015-03-31,35.33034133911133
2015-04-01,34.99577331542969
2015-04-02,34.56454086303711
2015-04-06,34.728118896484375
2015-04-07,34.11100769042969
2015-04-08,34.44558334350586
2015-04-09,34.638885498046875
2015-04-10,34.69093322753906
2015-04-13,34.79502487182617
2015-04-14,34.83964157104492
2015-04-15,35.412113189697266
2015-04-16,35.39724349975586
2015-04-17,34.6983757019043
2015-04-20,35.36751937866211
2015-04-21,35.36751937866211
2015-04-22,34.90653991699219
2015-04-23,35.04780578613281
