,PH
2015-03-17,100.98809814453125
2015-03-18,102.85684967041016
2015-03-19,101.10647583007812
2015-03-20,101.62228393554688
2015-03-23,100.65834045410156
2015-03-24,101.07263946533203
2015-03-25,98.92485809326172
2015-03-26,99.23773193359375
2015-03-27,99.90576171875
2015-03-30,100.88662719726562
2015-03-31,100.43846893310547
2015-04-01,100.1255874633789
2015-04-02,99.77891540527344
2015-04-06,102.7046127319336
2015-04-07,101.41934204101562
2015-04-08,101.22483825683594
2015-04-09,101.27556610107422
2015-04-10,101.91822052001953
2015-04-13,101.89286804199219
2015-04-14,102.46785736083984
2015-04-15,104.42959594726562
2015-04-16,104.27740478515625
2015-04-17,102.71308135986328
2015-04-20,103.86307525634766
2015-04-21,103.27964782714844
2015-04-22,104.4042739868164
2015-04-23,104.37042236328125
2015-04-24,103.57555389404297
2015-04-27,105.60497283935547
2015-04-28,101.70684814453125
2015-04-29,101.19949340820312
2015-04-30,100.92889404296875
2015-05-01,102.06195831298828
2015-05-04,102.84838104248047
2015-05-05,103.3472671508789
2015-05-06,102.89678192138672
2015-05-07,102.8117904663086
2015-05-08,103.26226043701172
2015-05-11,103.94223022460938
2015-05-12,103.37278747558594
2015-05-13,104.69021606445312
2015-05-14,105.89717102050781
2015-05-15,103.97624969482422
2015-05-18,104.29923248291016
2015-05-19,103.78923797607422
2015-05-20,104.29923248291016
2015-05-21,106.37315368652344
2015-05-22,106.02467346191406
2015-05-26,104.23124694824219
2015-05-27,104.84319305419922
2015-05-28,103.92525482177734
2015-05-29,102.36131286621094
2015-06-01,102.38679504394531
2015-06-02,102.54830932617188
2015-06-03,103.05829620361328
2015-06-04,101.59636688232422
2015-06-05,101.80033111572266
2015-06-08,101.07785034179688
2015-06-09,101.2818603515625
2015-06-10,102.17430877685547
2015-06-11,102.17430877685547
2015-06-12,101.29035186767578
2015-06-15,100.46590423583984
2015-06-16,100.34688568115234
2015-06-17,100.60187530517578
2015-06-18,101.00985717773438
2015-06-19,100.73786926269531
2015-06-22,101.25634002685547
2015-06-23,101.00985717773438
2015-06-24,101.60484313964844
2015-06-25,100.49989318847656
2015-06-26,100.44038391113281
2015-06-29,98.32396697998047
2015-06-30,98.87643432617188
2015-07-01,99.57341766357422
2015-07-02,98.85945892333984
2015-07-06,98.00948333740234
2015-07-07,98.29846954345703
2015-07-08,95.83358001708984
2015-07-09,96.05457305908203
2015-07-10,96.25004577636719
2015-07-13,96.80253601074219
2015-07-14,97.42302703857422
2015-07-15,96.0800552368164
2015-07-16,96.97252655029297
2015-07-17,96.21605682373047
2015-07-20,96.5560531616211
2015-07-21,95.25560760498047
2015-07-22,94.7711181640625
2015-07-23,94.27813720703125
2015-07-24,93.52166748046875
2015-07-27,92.78219604492188
2015-07-28,93.28368377685547
2015-07-29,94.96660614013672
2015-07-30,95.68909454345703
2015-07-31,95.83358001708984
2015-08-03,95.54460144042969
2015-08-04,91.71123504638672
2015-08-05,94.17616271972656
2015-08-06,94.36312866210938
2015-08-07,94.5161361694336
2015-08-10,97.56749725341797
2015-08-11,95.69757080078125
2015-08-12,96.24156951904297
2015-08-13,96.28404998779297
2015-08-14,96.61555480957031
2015-08-17,95.71456909179688
2015-08-18,95.83358001708984
2015-08-19,94.60112762451172
2015-08-20,91.9322509765625
2015-08-21,90.10479736328125
2015-08-24,87.24893951416016
2015-08-25,85.35347747802734
2015-08-26,88.16753387451172
2015-08-27,91.7000503540039
2015-08-28,91.50334167480469
2015-08-31,92.08495330810547
2015-09-01,90.39140319824219
2015-09-02,91.14410400390625
2015-09-03,90.04925537109375
2015-09-04,88.78340148925781
2015-09-08,91.52899169921875
2015-09-09,90.2117919921875
2015-09-10,89.93807983398438
2015-09-11,90.87895202636719
2015-09-14,89.75847625732422
2015-09-15,92.52117919921875
2015-09-16,93.10281372070312
2015-09-17,91.24673461914062
2015-09-18,87.1924819946289
2015-09-21,87.65434265136719
2015-09-22,87.00428771972656
2015-09-23,86.03776550292969
2015-09-24,83.74549102783203
2015-09-25,82.7276382446289
