,NDSN
2014-08-14,70.02755737304688
2014-08-15,70.09950256347656
2014-08-18,71.56515502929688
2014-08-19,71.61009979248047
2014-08-20,71.69103240966797
2014-08-21,71.75395965576172
2014-08-22,72.45726776123047
2014-08-25,73.16053771972656
2014-08-26,73.34087371826172
2014-08-27,72.89006805419922
2014-08-28,72.79087829589844
2014-08-29,73.08844757080078
2014-09-02,73.34087371826172
2014-09-03,73.23267364501953
2014-09-04,73.48517608642578
2014-09-05,73.24171447753906
2014-09-08,72.96220397949219
2014-09-09,72.50237274169922
2014-09-10,72.41217803955078
2014-09-11,72.02447509765625
2014-09-12,71.5466079711914
2014-09-15,71.43841552734375
2014-09-16,71.5466079711914
2014-09-17,71.19495391845703
2014-09-18,71.5736312866211
2014-09-19,70.74410247802734
2014-09-22,69.28343963623047
2014-09-23,68.75143432617188
2014-09-24,69.03998565673828
2014-09-25,68.19242095947266
2014-09-26,69.0219497680664
2014-09-29,69.30147552490234
2014-09-30,68.58914947509766
2014-10-01,67.2997817993164
2014-10-02,66.81287384033203
2014-10-03,66.88499450683594
2014-10-06,67.39895629882812
2014-10-07,65.92022705078125
2014-10-08,66.98419189453125
2014-10-09,64.82022857666016
2014-10-10,62.87263107299805
2014-10-13,61.08737564086914
2014-10-14,62.7824821472168
2014-10-15,61.68246078491211
2014-10-16,62.76444625854492
2014-10-17,63.22428512573242
2014-10-20,63.467742919921875
2014-10-21,65.08170318603516
2014-10-22,64.33332824707031
2014-10-23,66.15469360351562
2014-10-24,66.67759704589844
2014-10-27,66.40714263916016
2014-10-28,67.9579849243164
2014-10-29,67.83175659179688
2014-10-30,68.15633392333984
2014-10-31,69.0219497680664
2014-11-03,68.69737243652344
2014-11-04,67.98504638671875
