,IEX
2016-04-01,75.3690185546875
2016-04-04,73.56576538085938
2016-04-05,72.70449829101562
2016-04-06,72.83010864257812
2016-04-07,72.4981460571289
2016-04-08,73.0274658203125
2016-04-11,73.17996978759766
2016-04-12,73.79902648925781
2016-04-13,75.2613754272461
2016-04-14,75.13525390625
2016-04-15,75.18927001953125
2016-04-18,75.89190673828125
2016-04-19,75.77482604980469
2016-04-20,75.32440185546875
2016-04-21,75.02714538574219
2016-04-22,75.19829559326172
2016-04-25,74.4686508178711
2016-04-26,75.78382110595703
2016-04-27,75.48654174804688
2016-04-28,74.2074203491211
2016-04-29,73.77505493164062
2016-05-02,74.28848266601562
2016-05-03,73.42375183105469
2016-05-04,72.77516174316406
2016-05-05,73.2525863647461
2016-05-06,74.0452880859375
2016-05-09,73.41473388671875
2016-05-10,74.10833740234375
2016-05-11,73.69397735595703
2016-05-12,74.16236114501953
2016-05-13,73.16249084472656
2016-05-16,74.15338897705078
2016-05-17,73.65792846679688
2016-05-18,73.5588607788086
2016-05-19,73.38768005371094
2016-05-20,73.88312530517578
2016-05-23,74.0993423461914
2016-05-24,75.35140991210938
2016-05-25,75.58563995361328
2016-05-26,75.2072982788086
2016-05-27,75.25234985351562
2016-05-31,75.07218933105469
2016-06-01,75.60365295410156
2016-06-02,76.25220489501953
2016-06-03,76.06304168701172
2016-06-06,77.31517791748047
2016-06-07,77.59439849853516
2016-06-08,78.3150405883789
2016-06-09,78.20693969726562
2016-06-10,77.41426086425781
2016-06-13,77.07194519042969
2016-06-14,76.69361114501953
2016-06-15,76.81970977783203
2016-06-16,76.79270935058594
2016-06-17,77.00886535644531
2016-06-20,77.98175048828125
2016-06-21,76.95484924316406
2016-06-22,77.10797882080078
2016-06-23,77.9277114868164
2016-06-24,73.41473388671875
2016-06-27,71.4239730834961
2016-06-28,71.98247528076172
2016-06-29,72.54096221923828
2016-06-30,73.95520782470703
2016-07-01,74.02727508544922
2016-07-05,72.69406127929688
2016-07-06,73.38768005371094
2016-07-07,73.85611724853516
2016-07-08,75.53158569335938
2016-07-11,76.21619415283203
2016-07-12,77.01789855957031
2016-07-13,76.90031433105469
2016-07-14,77.12641143798828
2016-07-15,77.07215118408203
2016-07-18,76.37578582763672
2016-07-19,78.80858612060547
2016-07-20,79.839599609375
2016-07-21,78.82669830322266
2016-07-22,78.94425201416016
2016-07-25,78.53726959228516
2016-07-26,79.79437255859375
2016-07-27,80.24657440185547
2016-07-28,80.52693176269531
2016-07-29,81.20523071289062
2016-08-01,81.3951416015625
2016-08-02,81.12380981445312
2016-08-03,81.3951416015625
2016-08-04,81.66647338867188
2016-08-05,82.3899917602539
2016-08-08,82.79698944091797
2016-08-09,83.09539031982422
2016-08-10,83.29436492919922
2016-08-11,83.8460464477539
2016-08-12,83.49331665039062
2016-08-15,84.06309509277344
2016-08-16,83.61992645263672
2016-08-17,83.99077606201172
2016-08-18,84.00883483886719
2016-08-19,84.89515686035156
2016-08-22,84.65095520019531
2016-08-23,85.13931274414062
2016-08-24,84.49718475341797
2016-08-25,85.00366973876953
2016-08-26,85.23880004882812
2016-08-29,85.97135162353516
2016-08-30,85.77239227294922
2016-08-31,84.5062484741211
2016-09-01,84.52433013916016
2016-09-02,85.03984069824219
2016-09-06,84.60570526123047
2016-09-07,84.66905212402344
2016-09-08,84.3615493774414
2016-09-09,82.08248138427734
2016-09-12,82.83314514160156
2016-09-13,81.86543273925781
2016-09-14,81.80210876464844
2016-09-15,82.58895874023438
2016-09-16,81.57603454589844
2016-09-19,82.27238464355469
2016-09-20,82.27238464355469
2016-09-21,83.19488525390625
2016-09-22,84.94940948486328
2016-09-23,83.36672973632812
2016-09-26,82.99592590332031
2016-09-27,83.30340576171875
2016-09-28,84.01787567138672
2016-09-29,84.00883483886719
2016-09-30,84.62379455566406
2016-10-03,83.6832504272461
2016-10-04,82.87834930419922
2016-10-05,83.73751068115234
2016-10-06,83.86412811279297
2016-10-07,81.75688934326172
2016-10-10,81.44941711425781
2016-10-11,79.04374694824219
2016-10-12,79.05276489257812
2016-10-13,78.48988342285156
2016-10-14,78.45355224609375
2016-10-17,78.9710693359375
2016-10-18,78.79857635498047
2016-10-19,79.2162094116211
2016-10-20,78.78948974609375
2016-10-21,78.37183380126953
2016-10-24,78.8802719116211
2016-10-25,78.12670135498047
2016-10-26,78.26287841796875
2016-10-27,78.09037780761719
