,FCX
2016-12-09,14.5040864944458
2016-12-12,14.144935607910156
2016-12-13,13.850251197814941
2016-12-14,13.491101264953613
2016-12-15,13.454267501831055
2016-12-16,12.735968589782715
2016-12-19,12.478118896484375
2016-12-20,13.039861679077148
2016-12-21,12.938565254211426
2016-12-22,12.708340644836426
2016-12-23,12.717551231384277
2016-12-27,12.671507835388184
2016-12-28,12.496536254882812
2016-12-29,12.413655281066895
2016-12-30,12.146595001220703
2017-01-03,12.689924240112305
2017-01-04,13.656862258911133
2017-01-05,13.463475227355957
2017-01-06,13.721324920654297
2017-01-09,13.518728256225586
2017-01-10,14.319907188415527
2017-01-11,14.614594459533691
2017-01-12,14.062056541442871
2017-01-13,13.988385200500488
2017-01-17,13.868670463562012
2017-01-18,14.034429550170898
2017-01-19,14.052848815917969
2017-01-20,14.283071517944336
2017-01-23,14.476456642150879
2017-01-24,15.673623085021973
2017-01-25,15.194762229919434
2017-01-26,14.586965560913086
2017-01-27,15.07503890991211
2017-01-30,14.964531898498535
2017-01-31,15.332893371582031
2017-02-01,15.507859230041504
2017-02-02,15.480234146118164
2017-02-03,14.57775592803955
2017-02-06,14.734310150146484
2017-02-07,14.292279243469238
2017-02-08,14.30148983001709
2017-02-09,14.172565460205078
2017-02-10,14.550130844116211
2017-02-13,14.69747257232666
2017-02-14,14.642220497131348
2017-02-15,14.154146194458008
2017-02-16,13.877877235412598
2017-02-17,13.730534553527832
2017-02-21,13.012236595153809
2017-02-22,12.643879890441895
2017-02-23,12.413655281066895
2017-02-24,12.201850891113281
2017-02-27,12.220270156860352
2017-02-28,12.339982032775879
2017-03-01,12.883313179016113
2017-03-02,12.257102966308594
2017-03-03,12.155801773071289
2017-03-06,11.879534721374512
2017-03-07,11.68614673614502
2017-03-08,11.455924987792969
2017-03-09,11.419092178344727
2017-03-10,11.391464233398438
2017-03-13,11.566435813903809
2017-03-14,11.299373626708984
2017-03-15,11.870328903198242
2017-03-16,11.805868148803711
2017-03-17,11.750611305236816
2017-03-20,11.72298526763916
2017-03-21,11.575640678405762
2017-03-22,11.842702865600586
2017-03-23,11.815075874328613
2017-03-24,11.796656608581543
2017-03-27,11.244119644165039
2017-03-28,11.575640678405762
2017-03-29,11.713776588439941
2017-03-30,12.257102966308594
2017-03-31,12.303147315979004
2017-04-03,12.19264030456543
2017-04-04,12.46890926361084
2017-04-05,12.376818656921387
2017-04-06,12.487327575683594
2017-04-07,12.312355041503906
2017-04-10,12.450491905212402
2017-04-11,12.542579650878906
2017-04-12,11.861119270324707
2017-04-13,11.713776588439941
2017-04-17,11.741403579711914
2017-04-18,11.483551979064941
2017-04-19,11.373044967651367
2017-04-20,11.52038860321045
2017-04-21,11.262537002563477
2017-04-24,11.262537002563477
2017-04-25,12.06371784210205
2017-04-26,12.432074546813965
2017-04-27,11.980835914611816
2017-04-28,11.741403579711914
2017-05-01,11.548015594482422
2017-05-02,11.713776588439941
2017-05-03,11.069148063659668
2017-05-04,10.756048202514648
2017-05-05,10.866554260253906
2017-05-08,10.74683666229248
2017-05-09,10.710002899169922
2017-05-10,10.79288101196289
2017-05-11,10.756048202514648
2017-05-12,10.599493980407715
2017-05-15,10.820508003234863
2017-05-16,10.8389253616333
2017-05-17,10.525822639465332
2017-05-18,10.396896362304688
2017-05-19,10.802093505859375
2017-05-22,10.894179344177246
2017-05-23,10.940223693847656
2017-05-24,10.958642959594727
2017-05-25,10.774465560913086
2017-05-26,10.74683666229248
2017-05-30,10.74683666229248
2017-05-31,10.58107852935791
2017-06-01,10.544240951538086
2017-06-02,10.396896362304688
2017-06-05,10.51661205291748
2017-06-06,10.912598609924316
2017-06-07,10.79288101196289
