,EA
2014-11-10,40.308929443359375
2014-11-11,40.19169235229492
2014-11-12,40.25030517578125
2014-11-13,40.494544982910156
2014-11-14,40.51408767700195
2014-11-17,40.44569778442383
2014-11-18,41.88180923461914
2014-11-19,42.44844436645508
2014-11-20,42.155364990234375
2014-11-21,42.49728775024414
2014-11-24,42.594974517822266
2014-11-25,42.99553680419922
2014-11-26,42.67314147949219
2014-11-28,42.91738510131836
2014-12-01,42.155364990234375
2014-12-02,42.62430191040039
2014-12-03,44.929901123046875
2014-12-04,45.41836929321289
2014-12-05,45.584449768066406
2014-12-08,44.94943618774414
2014-12-09,44.52934646606445
2014-12-10,43.728240966796875
2014-12-11,44.0799446105957
2014-12-12,43.86502456665039
2014-12-15,44.402347564697266
2014-12-16,44.402347564697266
2014-12-17,44.9982795715332
2014-12-18,46.15108871459961
2014-12-19,46.36601638793945
2014-12-22,46.74702453613281
2014-12-23,46.73725128173828
2014-12-24,46.95217514038086
2014-12-26,47.2159538269043
2014-12-29,46.49301528930664
2014-12-30,46.28786849975586
2014-12-31,45.936153411865234
2015-01-02,45.78961181640625
2015-01-05,45.49652862548828
2015-01-06,44.90058517456055
2015-01-07,45.730995178222656
2015-01-08,47.020565032958984
2015-01-09,46.41485595703125
2015-01-12,45.97523498535156
2015-01-13,45.3499755859375
2015-01-14,45.81891632080078
2015-01-15,45.56491470336914
2015-01-16,46.98149108886719
2015-01-20,46.70794677734375
2015-01-21,46.961952209472656
2015-01-22,48.22220993041992
2015-01-23,48.642303466796875
2015-01-26,48.339447021484375
2015-01-27,47.29411315917969
2015-01-28,53.3511962890625
2015-01-29,54.05459976196289
2015-01-30,53.59544372558594
2015-02-02,53.702903747558594
2015-02-03,53.26327896118164
2015-02-04,53.30234909057617
2015-02-05,55.09017562866211
2015-02-06,53.868980407714844
2015-02-09,53.02880859375
2015-02-10,53.497745513916016
2015-02-11,53.68336868286133
2015-02-12,54.904541015625
2015-02-13,55.09017562866211
2015-02-17,55.45163345336914
2015-02-18,56.28204345703125
2015-02-19,55.82288360595703
2015-02-20,56.34066390991211
2015-02-23,56.22343444824219
2015-02-24,56.301578521728516
2015-02-25,56.067108154296875
2015-02-26,56.3992805480957
2015-02-27,55.861961364746094
