,NRG
2020-12-11,29.052255630493164
2020-12-14,28.570682525634766
2020-12-15,29.393735885620117
2020-12-16,29.227378845214844
2020-12-17,29.367475509643555
2020-12-18,29.58637237548828
2020-12-21,29.507568359375
2020-12-22,30.251827239990234
2020-12-23,30.934791564941406
2020-12-24,30.715892791748047
2020-12-28,30.84722328186035
2020-12-29,31.12742042541504
2020-12-30,31.83664894104004
2020-12-31,32.87860870361328
2021-01-04,31.78411865234375
2021-01-05,32.23065948486328
2021-01-06,32.589664459228516
2021-01-07,32.74727249145508
2021-01-08,34.156978607177734
2021-01-11,34.778648376464844
2021-01-12,35.74180603027344
2021-01-13,36.24965286254883
2021-01-14,35.23395919799805
2021-01-15,35.74180603027344
2021-01-19,36.10080337524414
2021-01-20,35.557926177978516
2021-01-21,35.78558349609375
2021-01-22,36.363487243652344
2021-01-25,36.713714599609375
2021-01-26,35.96946334838867
2021-01-27,34.848697662353516
2021-01-28,36.0920524597168
2021-01-29,36.54656219482422
2021-02-01,37.2702522277832
2021-02-02,37.72917938232422
2021-02-03,37.47323989868164
2021-02-04,37.023136138916016
2021-02-05,36.926063537597656
2021-02-08,37.12905502319336
2021-02-09,37.676231384277344
2021-02-10,38.020423889160156
2021-02-11,37.84391784667969
2021-02-12,37.98512649536133
2021-02-16,35.82286834716797
2021-02-17,35.09917068481445
2021-02-18,33.44879150390625
2021-02-19,34.93149185180664
2021-02-22,32.56624984741211
2021-02-23,33.78416442871094
2021-02-24,33.90773391723633
2021-02-25,33.15755081176758
2021-02-26,32.2220458984375
2021-03-01,35.619873046875
2021-03-02,34.66672134399414
2021-03-03,34.16366195678711
2021-03-04,34.198970794677734
2021-03-05,35.169776916503906
2021-03-08,36.74071502685547
2021-03-09,37.799781799316406
2021-03-10,35.95524978637695
2021-03-11,37.54384994506836
2021-03-12,36.6259880065918
2021-03-15,38.77059555053711
2021-03-16,38.338138580322266
2021-03-17,31.930809020996094
2021-03-18,32.12496566772461
2021-03-19,32.68980026245117
2021-03-22,31.577787399291992
2021-03-23,31.613080978393555
2021-03-24,31.71016502380371
2021-03-25,32.451515197753906
2021-03-26,33.00752258300781
2021-03-29,33.39583969116211
2021-03-30,32.733924865722656
2021-03-31,33.29875946044922
2021-04-01,33.06047439575195
2021-04-05,33.11342239379883
2021-04-06,33.88124084472656
2021-04-07,33.669437408447266
2021-04-08,33.845943450927734
2021-04-09,34.181312561035156
2021-04-12,34.04011154174805
2021-04-13,34.13718795776367
2021-04-14,33.78416442871094
2021-04-15,33.91655349731445
2021-04-16,34.13718795776367
2021-04-19,33.86359405517578
2021-04-20,33.404666900634766
2021-04-21,33.351715087890625
2021-04-22,32.69862365722656
2021-04-23,32.760398864746094
2021-04-26,32.88395690917969
2021-04-27,31.930809020996094
2021-04-28,31.957279205322266
2021-04-29,32.06319046020508
2021-04-30,31.8984375
2021-05-03,31.64908790588379
2021-05-04,31.301786422729492
2021-05-05,31.114782333374023
2021-05-06,30.954484939575195
2021-05-07,30.954484939575195
2021-05-10,31.57784652709961
2021-05-11,30.89214515686035
2021-05-12,29.948198318481445
2021-05-13,29.98381996154785
2021-05-14,30.571561813354492
2021-05-17,30.4290828704834
2021-05-18,30.482511520385742
2021-05-19,30.580469131469727
2021-05-20,30.313316345214844
2021-05-21,30.117399215698242
2021-05-24,30.063961029052734
2021-05-25,29.164541244506836
2021-05-26,29.244688034057617
2021-05-27,28.79942512512207
2021-05-28,28.630229949951172
2021-06-01,28.737092971801758
2021-06-02,29.404979705810547
2021-06-03,30.53594398498535
2021-06-04,30.188640594482422
2021-06-07,30.731857299804688
2021-06-08,32.10325241088867
2021-06-09,32.6553840637207
2021-06-10,32.44165802001953
2021-06-11,33.2164192199707
2021-06-14,33.0204963684082
2021-06-15,33.40341567993164
2021-06-16,32.87800598144531
2021-06-17,34.187068939208984
2021-06-18,32.762245178222656
2021-06-21,33.75962448120117
2021-06-22,33.24312973022461
2021-06-23,32.78004837036133
2021-06-24,33.421226501464844
2021-06-25,34.276126861572266
2021-06-28,36.368858337402344
2021-06-29,35.39817810058594
2021-06-30,35.88796615600586
2021-07-01,36.083885192871094
2021-07-02,36.87644958496094
2021-07-06,36.502437591552734
2021-07-07,36.87644958496094
2021-07-08,36.60929489135742
2021-07-09,37.37514114379883
2021-07-12,36.76958084106445
2021-07-13,36.17293167114258
2021-07-14,36.164031982421875
2021-07-15,35.83454132080078
2021-07-16,36.1016960144043
2021-07-19,34.748104095458984
2021-07-20,35.13103103637695
2021-07-21,35.73657989501953
2021-07-22,36.19075012207031
2021-07-23,36.51132583618164
2021-07-26,36.253089904785156
2021-07-27,36.6449089050293
2021-07-28,37.14360427856445
2021-07-29,37.16141128540039
2021-07-30,37.01332092285156
2021-08-02,36.887672424316406
2021-08-03,37.37232971191406
2021-08-04,37.46208190917969
2021-08-05,37.66850662231445
2021-08-06,39.391727447509766
2021-08-09,39.391727447509766
2021-08-10,38.727569580078125
2021-08-11,38.754493713378906
2021-08-12,38.64679718017578
2021-08-13,39.17633056640625
2021-08-16,38.66474533081055
2021-08-17,38.8262939453125
2021-08-18,38.619869232177734
2021-08-19,38.29677200317383
2021-08-20,38.96092224121094
2021-08-23,39.275047302246094
2021-08-24,39.445579528808594
2021-08-25,40.92647171020508
2021-08-26,40.53156661987305
2021-08-27,40.45079803466797
2021-08-30,40.17256546020508
2021-08-31,40.98929214477539
2021-09-01,40.737998962402344
2021-09-02,40.98929214477539
2021-09-03,40.773895263671875
2021-09-07,40.27128601074219
2021-09-08,40.66619873046875
2021-09-09,40.145633697509766
2021-09-10,39.0147705078125
2021-09-13,39.57123565673828
2021-09-14,39.391727447509766
2021-09-15,39.51738739013672
2021-09-16,38.59294509887695
2021-09-17,37.767234802246094
2021-09-20,36.941524505615234
2021-09-21,37.54286193847656
2021-09-22,37.85698699951172
2021-09-23,38.341644287109375
2021-09-24,38.55704116821289
2021-09-27,37.964683532714844
2021-09-28,37.147953033447266
2021-09-29,37.228729248046875
2021-09-30,36.64534378051758
2021-10-01,36.492774963378906
2021-10-04,36.19659423828125
2021-10-05,36.70817184448242
2021-10-06,36.74406814575195
2021-10-07,37.031272888183594
2021-10-08,37.147953033447266
2021-10-11,36.69021987915039
2021-10-12,36.762020111083984
2021-10-13,37.6595344543457
2021-10-14,37.318477630615234
2021-10-15,36.99537658691406
2021-10-18,36.6184196472168
2021-10-19,36.46583938598633
2021-10-20,37.174869537353516
2021-10-21,36.79792404174805
2021-10-22,37.004356384277344
2021-10-25,37.26463317871094
2021-10-26,36.7889518737793
2021-10-27,36.42096710205078
2021-10-28,36.67227554321289
2021-10-29,36.08873748779297
2021-11-01,36.60441970825195
