,KKR
2020-09-16,34.653167724609375
2020-09-17,33.94361877441406
2020-09-18,33.59842300415039
2020-09-21,33.10940933227539
2020-09-22,33.2244758605957
2020-09-23,32.697105407714844
2020-09-24,31.699886322021484
2020-09-25,32.514915466308594
2020-09-28,33.51211929321289
2020-09-29,32.78339385986328
2020-09-30,32.92723083496094
2020-10-01,33.26282501220703
2020-10-02,33.66554641723633
2020-10-05,34.57646942138672
2020-10-06,33.51211929321289
2020-10-07,33.79978942871094
2020-10-08,34.566871643066406
2020-10-09,34.35593032836914
2020-10-12,34.77783203125
2020-10-13,34.80659103393555
2020-10-14,34.91205978393555
2020-10-15,35.56409454345703
2020-10-16,35.420249938964844
2020-10-19,35.2860221862793
2020-10-20,35.9284553527832
2020-10-21,35.62161636352539
2020-10-22,35.71750259399414
2020-10-23,35.86133575439453
2020-10-26,34.99836349487305
2020-10-27,34.33674621582031
2020-10-28,33.33953094482422
2020-10-29,33.35871505737305
2020-10-30,32.74504470825195
2020-11-02,33.6080207824707
2020-11-03,33.4546012878418
2020-11-04,35.62161636352539
2020-11-05,36.618831634521484
2020-11-06,36.65719223022461
2020-11-09,36.446231842041016
2020-11-10,36.801021575927734
2020-11-11,35.20930862426758
2020-11-12,35.22848892211914
2020-11-13,36.099456787109375
2020-11-16,36.32081604003906
2020-11-17,36.54216003417969
2020-11-18,36.62877655029297
2020-11-19,37.02335739135742
2020-11-20,36.75388717651367
2020-11-23,37.1580924987793
2020-11-24,36.75388717651367
2020-11-25,37.40830612182617
2020-11-27,37.254329681396484
2020-11-30,36.503662109375
2020-12-01,37.4564323425293
2020-12-02,37.745155334472656
2020-12-03,37.745155334472656
2020-12-04,38.081993103027344
2020-12-07,38.370704650878906
2020-12-08,38.24559020996094
2020-12-09,37.67778778076172
2020-12-10,37.54304504394531
2020-12-11,38.13010787963867
2020-12-14,37.745155334472656
2020-12-15,38.13973617553711
2020-12-16,38.69792175292969
2020-12-17,38.9000244140625
2020-12-18,38.53431701660156
2020-12-21,38.20710754394531
2020-12-22,38.005001068115234
2020-12-23,38.15898132324219
2020-12-24,38.34184646606445
2020-12-28,37.99537658691406
2020-12-29,37.94725799560547
2020-12-30,38.19747543334961
2020-12-31,38.96739196777344
2021-01-04,38.15898132324219
2021-01-05,37.79326629638672
2021-01-06,37.87026596069336
2021-01-07,38.659420013427734
2021-01-08,38.96739196777344
2021-01-11,39.054012298583984
2021-01-12,38.9000244140625
2021-01-13,39.65068817138672
2021-01-14,39.43896484375
2021-01-15,39.188743591308594
2021-01-19,39.42934799194336
2021-01-20,39.90092086791992
2021-01-21,39.59294891357422
2021-01-22,38.68830490112305
2021-01-25,38.062740325927734
2021-01-26,37.67778778076172
2021-01-27,36.14757537841797
2021-01-28,37.47568893432617
2021-01-29,37.48530578613281
2021-02-01,38.919273376464844
2021-02-02,40.71895217895508
2021-02-03,40.51685333251953
2021-02-04,42.210670471191406
2021-02-05,42.9709587097168
2021-02-08,43.56764221191406
2021-02-09,44.79951095581055
2021-02-10,46.733924865722656
2021-02-11,46.3970947265625
2021-02-12,46.3970947265625
2021-02-16,46.1468620300293
2021-02-17,45.76190948486328
2021-02-18,45.3192024230957
2021-02-19,45.140647888183594
2021-02-22,43.770118713378906
2021-02-23,43.548126220703125
2021-02-24,43.85698699951172
2021-02-25,43.393707275390625
2021-02-26,43.972801208496094
2021-03-01,44.68701934814453
2021-03-02,44.8317985534668
2021-03-03,45.372283935546875
2021-03-04,45.06343460083008
2021-03-05,45.26612091064453
2021-03-08,45.439849853515625
2021-03-09,45.43019485473633
2021-03-10,46.105812072753906
2021-03-11,46.530479431152344
2021-03-12,46.742828369140625
2021-03-15,47.63077163696289
2021-03-16,47.225406646728516
2021-03-17,47.27365493774414
2021-03-18,46.1444206237793
2021-03-19,46.52083206176758
2021-03-22,47.06132507324219
2021-03-23,46.202327728271484
2021-03-24,46.30849838256836
2021-03-25,46.250579833984375
2021-03-26,46.78142166137695
2021-03-29,46.8489875793457
2021-03-30,47.47634506225586
2021-03-31,47.148189544677734
2021-04-01,48.59592819213867
2021-04-05,49.377708435058594
2021-04-06,49.39702224731445
2021-04-07,49.27154541015625
2021-04-08,49.812034606933594
2021-04-09,49.54179382324219
2021-04-12,50.19810104370117
2021-04-13,50.21739959716797
2021-04-14,51.25977325439453
2021-04-15,51.07640075683594
2021-04-16,51.45280838012695
2021-04-19,51.45280838012695
2021-04-20,50.76754379272461
2021-04-21,51.250125885009766
2021-04-22,51.84852981567383
2021-04-23,53.18045425415039
2021-04-26,53.63407516479492
2021-04-27,54.66680145263672
2021-04-28,54.73436737060547
2021-04-29,54.83087921142578
2021-04-30,54.6088981628418
2021-05-03,54.309688568115234
2021-05-04,53.691986083984375
2021-05-05,56.085594177246094
2021-05-06,55.670562744140625
2021-05-07,56.67434310913086
2021-05-10,55.10112380981445
2021-05-11,54.309688568115234
2021-05-12,52.215293884277344
2021-05-13,53.19975662231445
2021-05-14,54.327144622802734
2021-05-17,53.64974594116211
2021-05-18,53.214271545410156
2021-05-19,53.03041076660156
2021-05-20,53.60135269165039
2021-05-21,53.45619583129883
2021-05-24,53.53361511230469
2021-05-25,53.785221099853516
2021-05-26,53.736839294433594
2021-05-27,53.90134811401367
2021-05-28,53.89167022705078
2021-06-01,53.930381774902344
2021-06-02,53.22394561767578
2021-06-03,53.794898986816406
2021-06-04,53.61103439331055
2021-06-07,52.38203811645508
2021-06-08,53.51426315307617
2021-06-09,53.49490737915039
2021-06-10,54.21101760864258
2021-06-11,54.67551040649414
2021-06-14,53.50458526611328
2021-06-15,53.89167022705078
2021-06-16,55.188392639160156
2021-06-17,55.29484558105469
2021-06-18,54.569061279296875
2021-06-21,56.03030014038086
2021-06-22,56.66899871826172
2021-06-23,57.44315719604492
2021-06-24,58.188297271728516
2021-06-25,58.797943115234375
2021-06-28,58.565704345703125
2021-06-29,58.43022155761719
2021-06-30,57.32704162597656
2021-07-01,57.82056427001953
2021-07-02,57.859275817871094
2021-07-06,57.99475860595703
2021-07-07,57.45283126831055
2021-07-08,56.15610122680664
2021-07-09,57.191551208496094
2021-07-12,58.507625579833984
2021-07-13,57.491546630859375
2021-07-14,57.00768280029297
2021-07-15,56.920597076416016
2021-07-16,56.35933303833008
2021-07-19,55.51742172241211
2021-07-20,56.66899871826172
2021-07-21,57.46251678466797
2021-07-22,58.74956130981445
2021-07-23,59.4366340637207
2021-07-26,59.83340072631836
2021-07-27,60.317256927490234
2021-07-28,60.433387756347656
2021-07-29,61.74946594238281
2021-07-30,61.701072692871094
2021-08-02,61.48818588256836
2021-08-03,62.70749282836914
2021-08-04,63.89777755737305
2021-08-05,65.06868743896484
2021-08-06,65.39771270751953
2021-08-09,64.68162536621094
2021-08-10,63.67519760131836
2021-08-11,63.684871673583984
2021-08-12,63.96549987792969
2021-08-13,64.0479507446289
2021-08-16,63.4272575378418
2021-08-17,61.60396194458008
2021-08-18,61.28390884399414
2021-08-19,60.32377624511719
2021-08-20,61.400291442871094
2021-08-23,62.476810455322266
2021-08-24,62.50591278076172
2021-08-25,62.57379913330078
2021-08-26,62.29255294799805
2021-08-27,62.26344680786133
2021-08-30,62.3701286315918
2021-08-31,62.350738525390625
2021-09-01,62.57379913330078
2021-09-02,62.50591278076172
2021-09-03,62.49620819091797
2021-09-07,60.8765869140625
2021-09-08,61.16753005981445
2021-09-09,61.012359619140625
2021-09-10,60.866878509521484
2021-09-13,61.40999984741211
2021-09-14,61.47787857055664
2021-09-15,62.670780181884766
2021-09-16,64.62985229492188
2021-09-17,64.47467041015625
2021-09-20,60.56623840332031
2021-09-21,61.623355865478516
2021-09-22,61.681549072265625
2021-09-23,61.730037689208984
2021-09-24,60.15890884399414
2021-09-27,59.673980712890625
2021-09-28,58.209529876708984
2021-09-29,59.004798889160156
2021-09-30,59.04359817504883
2021-10-01,59.81946563720703
2021-10-04,58.45199966430664
2021-10-05,60.01343536376953
2021-10-06,59.994041442871094
2021-10-07,61.46819305419922
2021-10-08,63.5339241027832
2021-10-11,63.45634460449219
2021-10-12,63.32057571411133
2021-10-13,63.78609085083008
2021-10-14,64.79471588134766
2021-10-15,64.21281433105469
2021-10-18,65.10507202148438
2021-10-19,66.44344329833984
2021-10-20,68.45099639892578
2021-10-21,70.91439056396484
2021-10-22,71.32170867919922
2021-10-25,72.6019058227539
2021-10-26,74.24090576171875
2021-10-27,74.03723907470703
2021-10-28,76.8594741821289
2021-10-29,77.26680755615234
2021-11-01,75.30774688720703
2021-11-02,78.32392883300781
2021-11-03,80.8843002319336
2021-11-04,78.63428497314453
2021-11-05,77.85841369628906
2021-11-08,76.54913330078125
2021-11-09,77.2474136352539
2021-11-10,73.775390625
2021-11-11,75.7441635131836
2021-11-12,76.54576110839844
2021-11-15,75.56440734863281
2021-11-16,75.92391967773438
2021-11-17,76.27371215820312
2021-11-18,76.18627166748047
2021-11-19,76.08908081054688
2021-11-22,76.07938385009766
2021-11-23,74.50532531738281
2021-11-24,74.53446960449219
2021-11-26,72.24140930175781
2021-11-29,74.14582824707031
2021-11-30,72.33856201171875
2021-12-01,71.90131378173828
2021-12-02,73.33937072753906
2021-12-03,71.5321044921875
2021-12-06,72.28997802734375
2021-12-07,75.49638366699219
2021-12-08,74.79681396484375
2021-12-09,73.6114273071289
2021-12-10,73.20332336425781
2021-12-13,70.33699035644531
2021-12-14,70.96855926513672
2021-12-15,71.8430404663086
2021-12-16,69.07384490966797
2021-12-17,69.54996490478516
2021-12-20,68.57832336425781
2021-12-21,70.11353302001953
2021-12-22,71.90131378173828
2021-12-23,73.59198760986328
2021-12-27,75.05915832519531
2021-12-28,74.55390167236328
2021-12-29,72.38715362548828
2021-12-30,72.64949035644531
2021-12-31,72.38715362548828
2022-01-03,71.43492126464844
2022-01-04,72.20252227783203
2022-01-05,67.02369689941406
2022-01-06,68.5880355834961
2022-01-07,67.5289535522461
2022-01-10,67.34432220458984
2022-01-11,69.6471176147461
2022-01-12,70.09407806396484
2022-01-13,67.87873840332031
2022-01-14,67.4317855834961
2022-01-18,66.03263092041016
2022-01-19,64.98323822021484
2022-01-20,65.1775894165039
2022-01-21,63.953311920166016
2022-01-24,63.55494689941406
2022-01-25,62.923377990722656
2022-01-26,62.69990158081055
2022-01-27,64.12821197509766
2022-01-28,66.25611114501953
2022-01-31,69.1418685913086
2022-02-01,70.40499877929688
2022-02-02,71.10458374023438
2022-02-03,68.89897155761719
2022-02-04,68.91839599609375
2022-02-07,68.72407531738281
2022-02-08,64.4974365234375
2022-02-09,66.87794494628906
2022-02-10,64.12821197509766
2022-02-11,60.9800910949707
2022-02-14,58.852210998535156
2022-02-15,60.72747039794922
2022-02-16,60.43598556518555
2022-02-17,56.88608169555664
2022-02-18,57.59703063964844
2022-02-22,56.5160026550293
2022-02-23,56.47704315185547
2022-02-24,57.226951599121094
2022-02-25,59.41824722290039
2022-02-28,58.55146408081055
2022-03-01,56.2432975769043
2022-03-02,58.56120681762695
2022-03-03,56.27251434326172
2022-03-04,54.43183135986328
2022-03-07,49.825233459472656
2022-03-08,50.90627670288086
2022-03-09,53.53582763671875
2022-03-10,52.055484771728516
2022-03-11,50.92575454711914
2022-03-14,49.523319244384766
2022-03-15,50.72123336791992
2022-03-16,54.01304626464844
2022-03-17,56.15564727783203
2022-03-18,57.91843032836914
2022-03-21,56.876338958740234
2022-03-22,58.580684661865234
2022-03-23,57.44121170043945
2022-03-24,57.70416259765625
2022-03-25,57.129554748535156
2022-03-28,57.05165100097656
2022-03-29,60.168155670166016
2022-03-30,57.762596130371094
2022-03-31,56.944515228271484
2022-04-01,58.220340728759766
2022-04-04,58.37615966796875
2022-04-05,55.980342864990234
2022-04-06,54.83112716674805
2022-04-07,54.353912353515625
2022-04-08,56.19460678100586
2022-04-11,54.79216766357422
2022-04-12,54.052005767822266
2022-04-13,55.01618194580078
2022-04-14,53.808528900146484
2022-04-18,53.12678527832031
2022-04-19,54.95773696899414
2022-04-20,56.41860580444336
2022-04-21,52.46453094482422
2022-04-22,50.419315338134766
2022-04-25,51.617225646972656
2022-04-26,49.55253982543945
2022-04-27,50.331668853759766
2022-04-28,51.20819091796875
