,DOC
2014-09-29,21.397401809692383
2014-09-30,21.242267608642578
2014-10-01,21.397401809692383
2014-10-02,21.34391212463379
2014-10-03,21.450897216796875
2014-10-06,21.504384994506836
2014-10-07,21.488338470458984
2014-10-08,21.90024185180664
2014-10-09,22.007230758666992
2014-10-10,22.419126510620117
2014-10-13,22.59564971923828
2014-10-14,22.95406150817871
2014-10-15,22.85777473449707
2014-10-16,22.793577194213867
2014-10-17,22.734739303588867
2014-10-20,22.95406150817871
2014-10-21,22.77752685546875
2014-10-22,22.782882690429688
2014-10-23,22.90056800842285
2014-10-24,22.932662963867188
2014-10-27,23.178735733032227
2014-10-28,23.200130462646484
2014-10-29,23.08245086669922
2014-10-30,23.31782341003418
2014-10-31,23.521089553833008
2014-11-03,23.510385513305664
2014-11-04,23.740421295166016
