,CE
2015-05-12,53.81389617919922
2015-05-13,54.46067810058594
2015-05-14,54.79635238647461
2015-05-15,54.85368347167969
2015-05-18,55.26301956176758
2015-05-19,54.86186599731445
2015-05-20,55.21388626098633
2015-05-21,55.7542610168457
2015-05-22,55.549556732177734
2015-05-26,55.074710845947266
2015-05-27,55.9098014831543
2015-05-28,56.19634246826172
2015-05-29,56.368289947509766
2015-06-01,56.57294845581055
2015-06-02,56.99869155883789
2015-06-03,57.833778381347656
2015-06-04,57.13786697387695
2015-06-05,57.43260955810547
2015-06-08,57.096927642822266
2015-06-09,57.47352981567383
2015-06-10,58.136714935302734
2015-06-11,58.19401931762695
2015-06-12,57.760101318359375
2015-06-15,57.30979537963867
2015-06-16,57.506290435791016
2015-06-17,57.72735595703125
2015-06-18,58.43962097167969
2015-06-19,58.34138870239258
2015-06-22,58.70979690551758
2015-06-23,58.82441711425781
2015-06-24,58.603328704833984
2015-06-25,58.685237884521484
2015-06-26,59.75774002075195
2015-06-29,58.69342041015625
2015-06-30,58.84897994995117
2015-07-01,58.94721984863281
2015-07-02,60.35542678833008
2015-07-06,59.57763671875
2015-07-07,58.80804443359375
2015-07-08,55.803367614746094
2015-07-09,55.37763977050781
2015-07-10,55.917991638183594
2015-07-13,56.89224624633789
2015-07-14,57.850154876708984
2015-07-15,56.4747200012207
2015-07-16,56.66300582885742
2015-07-17,53.846649169921875
2015-07-20,54.25598907470703
2015-07-21,53.78933334350586
2015-07-22,53.1671142578125
2015-07-23,52.88056564331055
2015-07-24,51.14490509033203
2015-07-27,50.79286193847656
2015-07-28,52.50396728515625
2015-07-29,53.69108200073242
2015-07-30,54.127010345458984
2015-07-31,54.21747970581055
2015-08-03,53.691078186035156
2015-08-04,53.89671325683594
2015-08-05,54.08588409423828
2015-08-06,53.53482437133789
2015-08-07,53.43613815307617
2015-08-10,55.089298248291016
2015-08-11,53.41145324707031
2015-08-12,52.97554397583008
2015-08-13,53.21406555175781
2015-08-14,52.6959114074707
2015-08-17,53.20583724975586
2015-08-18,52.876834869384766
2015-08-19,51.90631866455078
2015-08-20,50.98515319824219
2015-08-21,48.58352279663086
2015-08-24,45.95984649658203
2015-08-25,44.808380126953125
2015-08-26,46.477989196777344
2015-08-27,48.78093338012695
2015-08-28,49.32375717163086
2015-08-31,49.87481689453125
2015-09-01,47.835079193115234
2015-09-02,48.6246452331543
2015-09-03,49.38954544067383
2015-09-04,48.501277923583984
2015-09-08,49.65274429321289
2015-09-09,50.48345947265625
2015-09-10,50.45053482055664
2015-09-11,50.19557571411133
2015-09-14,49.866600036621094
2015-09-15,51.06739044189453
2015-09-16,51.478641510009766
2015-09-17,51.03451156616211
2015-09-18,49.858367919921875
2015-09-21,50.45053482055664
2015-09-22,49.57872772216797
2015-09-23,49.282630920410156
2015-09-24,49.41421890258789
2015-09-25,49.50469207763672
2015-09-28,46.214805603027344
2015-09-29,46.477989196777344
2015-09-30,48.665775299072266
2015-10-01,49.41421890258789
2015-10-02,50.48345947265625
2015-10-05,51.98857498168945
2015-10-06,53.14826965332031
2015-10-07,53.863826751708984
2015-10-08,54.974151611328125
2015-10-09,53.469024658203125
2015-10-12,52.82749938964844
2015-10-13,52.27644348144531
2015-10-14,52.42448425292969
2015-10-15,52.769920349121094
2015-10-16,52.91796875
2015-10-19,52.63010787963867
2015-10-20,54.13522720336914
2015-10-21,54.66160583496094
2015-10-22,56.50395202636719
2015-10-23,57.08790969848633
2015-10-26,57.482704162597656
2015-10-27,56.72602844238281
2015-10-28,57.680091857910156
2015-10-29,57.94442367553711
2015-10-30,58.68781661987305
2015-11-02,59.2742919921875
2015-11-03,59.05954360961914
2015-11-04,59.51383590698242
2015-11-05,58.42351150512695
2015-11-06,59.03475570678711
2015-11-09,58.48958206176758
2015-11-10,58.67131805419922
2015-11-11,58.150917053222656
2015-11-12,55.94548416137695
2015-11-13,57.985713958740234
2015-11-16,59.10082244873047
2015-11-17,59.04302215576172
2015-11-18,59.54685974121094
2015-11-19,59.30731964111328
2015-11-20,58.89432907104492
2015-11-23,58.37394332885742
2015-11-24,58.95216751098633
2015-11-25,58.34917068481445
2015-11-27,58.44001770019531
2015-11-30,58.44001770019531
2015-12-01,58.30786895751953
2015-12-02,56.977989196777344
2015-12-03,56.920166015625
2015-12-04,57.853553771972656
2015-12-07,56.201534271240234
2015-12-08,55.061649322509766
2015-12-09,55.37552261352539
2015-12-10,54.54951858520508
2015-12-11,54.05392074584961
2015-12-14,53.72352981567383
2015-12-15,54.95426559448242
2015-12-16,55.5572624206543
2015-12-17,54.450382232666016
2015-12-18,53.83090591430664
2015-12-21,53.81437683105469
2015-12-22,54.57429885864258
2015-12-23,55.9289665222168
