,HII
2017-02-06,171.02685546875
2017-02-07,170.64952087402344
2017-02-08,170.33229064941406
2017-02-09,170.52952575683594
2017-02-10,171.79859924316406
2017-02-13,172.51889038085938
2017-02-14,173.7193603515625
2017-02-15,176.38613891601562
2017-02-16,180.02194213867188
2017-02-17,181.71121215820312
2017-02-21,182.35433959960938
2017-02-22,184.5837860107422
2017-02-23,183.80349731445312
2017-02-24,186.05870056152344
2017-02-27,187.04476928710938
2017-02-28,187.362060546875
2017-03-01,188.7120361328125
2017-03-02,187.72325134277344
2017-03-03,188.15313720703125
2017-03-06,187.47386169433594
2017-03-07,187.25035095214844
2017-03-08,185.19525146484375
2017-03-09,183.75070190429688
2017-03-10,182.03099060058594
2017-03-13,183.36373901367188
2017-03-14,181.8504180908203
2017-03-15,181.9707794189453
2017-03-16,180.70680236816406
2017-03-17,183.76788330078125
2017-03-20,181.69561767578125
2017-03-21,178.09288024902344
2017-03-22,179.5889892578125
2017-03-23,178.79794311523438
2017-03-24,176.20974731445312
2017-03-27,173.75921630859375
2017-03-28,174.08595275878906
2017-03-29,173.8021697998047
2017-03-30,174.02569580078125
2017-03-31,172.17709350585938
2017-04-03,173.5528106689453
2017-04-04,173.7419891357422
2017-04-05,170.8270721435547
2017-04-06,172.3490447998047
2017-04-07,175.2381134033203
2017-04-10,175.31552124023438
2017-04-11,176.80307006835938
2017-04-12,175.10916137695312
2017-04-13,174.5244598388672
2017-04-17,172.64996337890625
2017-04-18,171.3601531982422
2017-04-19,172.0137481689453
2017-04-20,172.0137481689453
2017-04-21,171.65255737304688
2017-04-24,175.16934204101562
2017-04-25,176.27003479003906
2017-04-26,174.61904907226562
2017-04-27,173.85379028320312
2017-04-28,172.73597717285156
2017-05-01,171.57518005371094
2017-05-02,172.53819274902344
2017-05-03,172.87353515625
2017-05-04,161.8330535888672
2017-05-05,168.10133361816406
2017-05-08,167.93800354003906
2017-05-09,168.52268981933594
2017-05-10,168.93540954589844
2017-05-11,168.1701202392578
