,J
2019-10-17,74.67948913574219
2019-10-18,74.3912124633789
2019-10-21,74.55937194824219
2019-10-22,74.88768005371094
2019-10-23,74.3912124633789
2019-10-24,74.76758575439453
2019-10-25,75.21600341796875
2019-10-28,75.60037994384766
2019-10-29,75.50428009033203
2019-10-30,75.94470977783203
2019-10-31,74.93573760986328
2019-11-01,76.92965698242188
2019-11-04,77.66636657714844
2019-11-05,77.93862915039062
2019-11-06,77.6263198852539
2019-11-07,76.641357421875
2019-11-08,75.75251770019531
2019-11-11,76.16890716552734
2019-11-12,76.24097442626953
2019-11-13,74.6474838256836
2019-11-14,75.67243957519531
2019-11-15,75.53633117675781
2019-11-18,75.0318374633789
2019-11-19,75.68045806884766
2019-11-20,75.48026275634766
2019-11-21,74.7035140991211
2019-11-22,74.77558898925781
2019-11-25,72.66957092285156
2019-11-26,73.24612426757812
2019-11-27,74.09494018554688
2019-11-29,73.74260711669922
2019-12-02,71.55651092529297
2019-12-03,70.97196197509766
2019-12-04,69.09813690185547
2019-12-05,68.57767486572266
2019-12-06,68.08116912841797
2019-12-09,68.7378158569336
2019-12-10,69.7707748413086
2019-12-11,70.5395278930664
2019-12-12,72.08501434326172
2019-12-13,72.09300994873047
2019-12-16,71.48442840576172
2019-12-17,71.62055969238281
2019-12-18,70.76373291015625
2019-12-19,70.89987182617188
2019-12-20,72.10102081298828
2019-12-23,72.38929748535156
2019-12-24,71.72467041015625
2019-12-26,72.14106750488281
2019-12-27,71.70064544677734
2019-12-30,71.76469421386719
2019-12-31,71.93287658691406
2020-01-02,72.28520202636719
2020-01-03,72.78168487548828
2020-01-06,72.64555358886719
2020-01-07,72.90180206298828
2020-01-08,71.65259552001953
2020-01-09,72.78168487548828
2020-01-10,72.57347869873047
2020-01-13,72.98187255859375
2020-01-14,74.13499450683594
2020-01-15,74.28712463378906
2020-01-16,74.84764862060547
2020-01-17,75.27205657958984
2020-01-21,75.90467071533203
2020-01-22,75.95272064208984
2020-01-23,76.92164611816406
2020-01-24,77.67434692382812
2020-01-27,76.29705047607422
2020-01-28,75.94470977783203
2020-01-29,75.89665985107422
2020-01-30,75.846435546875
2020-01-31,74.27314758300781
2020-02-03,74.68254089355469
2020-02-04,76.62504577636719
2020-02-05,77.66053771972656
2020-02-06,77.07454681396484
2020-02-07,76.88191223144531
2020-02-10,77.87725830078125
2020-02-11,78.44715881347656
2020-02-12,79.67529296875
2020-02-13,79.65119171142578
2020-02-14,80.79906463623047
2020-02-18,80.71879577636719
2020-02-19,81.44120025634766
2020-02-20,81.89875030517578
2020-02-21,83.3676528930664
2020-02-24,81.83453369140625
2020-02-25,79.23379516601562
2020-02-26,80.13280487060547
