,SWK
2016-08-12,100.65145111083984
2016-08-15,100.88834381103516
2016-08-16,99.59764099121094
2016-08-17,99.94075775146484
2016-08-18,99.83456420898438
2016-08-19,99.76102447509766
2016-08-22,99.40157318115234
2016-08-23,99.98159790039062
2016-08-24,99.33623504638672
2016-08-25,99.49143981933594
2016-08-26,100.27568054199219
2016-08-29,100.9782485961914
2016-08-30,101.672607421875
2016-08-31,101.5658950805664
2016-09-01,101.41815948486328
2016-09-02,101.6151351928711
2016-09-06,100.84367370605469
2016-09-07,100.67950439453125
2016-09-08,100.42508697509766
2016-09-09,98.25012969970703
2016-09-12,99.41558074951172
2016-09-13,98.20909881591797
2016-09-14,98.48814392089844
2016-09-15,99.62078857421875
2016-09-16,98.58663177490234
2016-09-19,99.52227020263672
2016-09-20,100.09678649902344
2016-09-21,100.54818725585938
2016-09-22,101.11451721191406
2016-09-23,99.24322509765625
2016-09-26,99.22681427001953
2016-09-27,100.33480834960938
2016-09-28,101.36891174316406
2016-09-29,99.90802764892578
2016-09-30,100.93394470214844
2016-10-03,100.75338745117188
2016-10-04,101.08988189697266
2016-10-05,102.17323303222656
2016-10-06,101.90240478515625
2016-10-07,100.3512191772461
2016-10-10,99.86698913574219
2016-10-11,96.5676498413086
2016-10-12,99.34992218017578
2016-10-13,99.16935729980469
2016-10-14,99.4976577758789
2016-10-17,98.67692565917969
2016-10-18,98.48814392089844
2016-10-19,98.16803741455078
2016-10-20,98.67692565917969
2016-10-21,98.25012969970703
2016-10-24,98.09419250488281
2016-10-25,96.0423583984375
2016-10-26,95.83716583251953
2016-10-27,94.40909576416016
2016-10-28,93.88382720947266
2016-10-31,93.43241119384766
2016-11-01,93.23543548583984
2016-11-02,93.1451416015625
2016-11-03,93.6211929321289
2016-11-04,94.0397720336914
2016-11-07,96.2475357055664
2016-11-08,96.79742431640625
2016-11-09,98.40607452392578
2016-11-10,102.64926147460938
2016-11-11,103.23198699951172
2016-11-14,100.03935241699219
2016-11-15,100.69593048095703
2016-11-16,100.97498321533203
2016-11-17,100.14602661132812
2016-11-18,99.76848602294922
2016-11-21,99.41558074951172
2016-11-22,99.29247283935547
2016-11-23,98.81645965576172
2016-11-25,99.80133056640625
2016-11-28,98.19268035888672
2016-11-29,98.43067932128906
2016-11-30,97.83688354492188
2016-12-01,97.99361419677734
2016-12-02,97.50701141357422
2016-12-05,98.26573181152344
2016-12-06,97.84513854980469
2016-12-07,99.44510650634766
2016-12-08,99.75025939941406
2016-12-09,99.3791275024414
2016-12-12,99.07398223876953
2016-12-13,98.22452545166016
2016-12-14,97.48226165771484
2016-12-15,97.44927978515625
2016-12-16,96.30289459228516
2016-12-19,96.85547637939453
2016-12-20,96.6657943725586
2016-12-21,96.3111572265625
2016-12-22,95.51117706298828
2016-12-23,96.23693084716797
2016-12-27,96.0719985961914
2016-12-28,94.91737365722656
2016-12-29,95.04107666015625
2016-12-30,94.58748626708984
2017-01-03,95.46170043945312
2017-01-04,96.0637435913086
2017-01-05,97.6059799194336
2017-01-06,97.49050903320312
2017-01-09,97.03693389892578
2017-01-10,97.11113739013672
2017-01-11,97.30907440185547
2017-01-12,97.94410705566406
2017-01-13,98.41419982910156
2017-01-17,97.56473541259766
2017-01-18,99.13170623779297
2017-01-19,98.68636322021484
2017-01-20,98.95851135253906
2017-01-23,99.35438537597656
2017-01-24,101.16875457763672
2017-01-25,102.50482177734375
2017-01-26,102.3481216430664
2017-01-27,103.1151123046875
2017-01-30,103.139892578125
2017-01-31,102.26566314697266
2017-02-01,101.1605453491211
2017-02-02,100.91312408447266
2017-02-03,101.86978912353516
2017-02-06,101.11103057861328
2017-02-07,100.70691680908203
2017-02-08,100.73167419433594
2017-02-09,101.50692749023438
2017-02-10,102.04298400878906
2017-02-13,104.25323486328125
2017-02-14,103.74191284179688
2017-02-15,104.50064849853516
2017-02-16,104.24498748779297
