,CPB
2014-05-07,33.10250473022461
2014-05-08,33.0440673828125
2014-05-09,33.16093826293945
2014-05-12,33.226680755615234
2014-05-13,33.328948974609375
2014-05-14,33.09519577026367
2014-05-15,32.89067077636719
2014-05-16,32.95641326904297
2014-05-19,32.18217468261719
2014-05-20,32.16758346557617
2014-05-21,32.40860366821289
2014-05-22,32.32095718383789
2014-05-23,32.18217468261719
2014-05-27,32.649658203125
2014-05-28,32.583900451660156
2014-05-29,32.97102737426758
2014-05-30,33.52614212036133
2014-06-02,33.21206283569336
2014-06-03,33.16093826293945
2014-06-04,33.39467239379883
2014-06-05,33.86943817138672
2014-06-06,33.86943817138672
2014-06-09,33.49692916870117
2014-06-10,33.343544006347656
2014-06-11,33.182838439941406
2014-06-12,33.05867004394531
2014-06-13,33.10250473022461
2014-06-16,33.343544006347656
2014-06-17,33.37275695800781
2014-06-18,33.60647964477539
2014-06-19,34.044742584228516
2014-06-20,33.91328048706055
2014-06-23,33.65031814575195
2014-06-24,33.3508415222168
2014-06-25,33.10250473022461
2014-06-26,33.05867004394531
2014-06-27,33.3581428527832
2014-06-30,33.46040344238281
2014-07-01,33.64301300048828
2014-07-02,33.73795700073242
2014-07-03,33.73208236694336
2014-07-07,33.5776481628418
2014-07-08,33.401161193847656
2014-07-09,33.31291961669922
2014-07-10,33.29084014892578
2014-07-11,33.305564880371094
2014-07-14,33.29084014892578
2014-07-15,32.459869384765625
2014-07-16,32.76872253417969
2014-07-17,32.16572189331055
2014-07-18,32.32014083862305
2014-07-21,32.474571228027344
2014-07-22,32.459869384765625
2014-07-23,32.180423736572266
2014-07-24,32.01127243041992
2014-07-25,31.989219665527344
2014-07-28,31.959800720214844
2014-07-29,31.82009506225586
2014-07-30,31.46708869934082
2014-07-31,30.584636688232422
2014-08-01,30.856735229492188
2014-08-04,31.05527687072754
2014-08-05,30.746421813964844
2014-08-06,31.033218383789062
2014-08-07,30.989103317260742
2014-08-08,31.378854751586914
2014-08-11,31.739187240600586
2014-08-12,31.70977210998535
2014-08-13,31.893611907958984
2014-08-14,32.151004791259766
2014-08-15,31.967153549194336
2014-08-18,32.253963470458984
2014-08-19,32.437808990478516
2014-08-20,32.51869201660156
2014-08-21,32.68783187866211
2014-08-22,32.364261627197266
2014-08-25,32.55546188354492
2014-08-26,32.68783187866211
2014-08-27,32.79814147949219
2014-08-28,32.92315673828125
2014-08-29,32.959930419921875
2014-09-02,32.82756423950195
2014-09-03,32.70254898071289
2014-09-04,32.54076385498047
2014-09-05,32.754024505615234
2014-09-08,31.9083194732666
2014-09-09,31.78331756591797
2014-09-10,31.93039894104004
2014-09-11,32.44515609741211
2014-09-12,31.915691375732422
2014-09-15,31.989219665527344
2014-09-16,32.06275939941406
2014-09-17,31.695064544677734
2014-09-18,31.915691375732422
2014-09-19,31.665658950805664
2014-09-22,31.46708869934082
2014-09-23,31.312667846679688
2014-09-24,31.599462509155273
2014-09-25,31.165592193603516
2014-09-26,31.342086791992188
2014-09-29,31.511219024658203
2014-09-30,31.422977447509766
2014-10-01,31.047929763793945
2014-10-02,30.959688186645508
2014-10-03,31.217071533203125
2014-10-06,31.290611267089844
2014-10-07,31.114107131958008
2014-10-08,31.58232307434082
2014-10-09,31.026689529418945
2014-10-10,31.2563533782959
2014-10-13,31.071142196655273
2014-10-14,31.3304443359375
2014-10-15,31.085969924926758
2014-10-16,30.819255828857422
2014-10-17,31.145231246948242
2014-10-20,31.671228408813477
2014-10-21,31.782358169555664
2014-10-22,31.797178268432617
2014-10-23,31.83420753479004
2014-10-24,31.982391357421875
2014-10-27,32.32317352294922
2014-10-28,32.404666900634766
2014-10-29,32.189823150634766
2014-10-30,32.530616760253906
2014-10-31,32.72323226928711
2014-11-03,32.841758728027344
2014-11-04,32.93809509277344
