,TAP
2018-01-12,71.26730346679688
2018-01-16,71.13297271728516
2018-01-17,71.0993881225586
2018-01-18,69.89871215820312
2018-01-19,70.33531951904297
2018-01-22,70.57879638671875
2018-01-23,69.9071273803711
2018-01-24,70.43607330322266
2018-01-25,70.35212707519531
2018-01-26,70.85590362548828
2018-01-29,70.09182739257812
2018-01-30,70.09182739257812
2018-01-31,70.54521942138672
2018-02-01,70.15061950683594
2018-02-02,68.0599365234375
2018-02-05,65.22200012207031
2018-02-06,65.4738998413086
2018-02-07,63.94578170776367
2018-02-08,62.5604133605957
2018-02-09,62.30852127075195
2018-02-12,63.61833190917969
2018-02-13,63.55955505371094
2018-02-14,67.54776763916016
2018-02-15,68.6308822631836
2018-02-16,68.4041748046875
2018-02-20,66.96002197265625
2018-02-21,66.12041473388672
2018-02-22,65.86852264404297
2018-02-23,66.04483795166016
2018-02-26,65.43191528320312
2018-02-27,64.29843139648438
2018-02-28,64.02134704589844
2018-03-01,64.51673126220703
2018-03-02,66.1290283203125
2018-03-05,65.8673324584961
2018-03-06,66.50887298583984
2018-03-07,66.06147766113281
2018-03-08,67.9945297241211
2018-03-09,68.45036315917969
2018-03-12,68.34062957763672
2018-03-13,67.91856384277344
2018-03-14,68.45879364013672
2018-03-15,68.72049713134766
2018-03-16,67.69065856933594
2018-03-19,67.0828857421875
2018-03-20,64.89657592773438
2018-03-21,64.19596099853516
2018-03-22,62.7946891784668
2018-03-23,60.91230392456055
2018-03-26,62.38951110839844
2018-03-27,62.65965270996094
2018-03-28,63.65571212768555
2018-03-29,63.58818054199219
2018-04-02,61.69733810424805
2018-04-03,62.16162109375
2018-04-04,62.549896240234375
2018-04-05,62.364200592041016
2018-04-06,61.75644302368164
2018-04-09,61.7733154296875
2018-04-10,62.457061767578125
2018-04-11,62.37263870239258
2018-04-12,62.136287689208984
2018-04-13,61.60447311401367
2018-04-16,62.085636138916016
2018-04-17,62.22068786621094
2018-04-18,61.81550979614258
2018-04-19,61.6719856262207
2018-04-20,59.40973663330078
2018-04-23,60.70969772338867
2018-04-24,60.51554870605469
2018-04-25,60.70125961303711
2018-04-26,61.19087219238281
2018-04-27,61.03047180175781
2018-04-30,60.13568878173828
2018-05-01,60.50712966918945
2018-05-02,51.18792724609375
2018-05-03,50.14122009277344
2018-05-04,51.05287551879883
2018-05-07,50.33536148071289
2018-05-08,50.97690200805664
2018-05-09,51.5509147644043
2018-05-10,51.82947540283203
2018-05-11,51.255470275878906
2018-05-14,51.002220153808594
2018-05-15,50.689903259277344
2018-05-16,50.74054718017578
2018-05-17,50.86716842651367
2018-05-18,50.850284576416016
2018-05-21,50.98534393310547
2018-05-22,51.517147064208984
2018-05-23,52.091148376464844
2018-05-24,51.939212799072266
2018-05-25,51.85479736328125
2018-05-29,51.964542388916016
2018-05-30,52.63139343261719
2018-05-31,52.04050827026367
2018-06-01,52.35492706298828
2018-06-04,52.15946960449219
2018-06-05,51.92153549194336
2018-06-06,52.50788497924805
2018-06-07,53.21320724487305
2018-06-08,54.01199722290039
2018-06-11,54.95524597167969
2018-06-12,56.16193389892578
2018-06-13,56.170440673828125
2018-06-14,56.69729995727539
2018-06-15,57.691551208496094
2018-06-18,56.9437370300293
2018-06-19,57.462100982666016
2018-06-20,57.878501892089844
2018-06-21,57.33464050292969
2018-06-22,58.651790618896484
2018-06-25,59.306121826171875
2018-06-26,58.303382873535156
2018-06-27,57.606563568115234
2018-06-28,57.64904022216797
2018-06-29,57.81903076171875
2018-07-02,57.462100982666016
2018-07-03,57.52157974243164
2018-07-05,59.229652404785156
2018-07-06,60.01144027709961
2018-07-09,59.33161544799805
2018-07-10,58.11643600463867
2018-07-11,58.303382873535156
2018-07-12,57.5385856628418
2018-07-13,57.8700065612793
2018-07-16,56.85026168823242
2018-07-17,56.93523406982422
2018-07-18,54.683319091796875
2018-07-19,54.275421142578125
2018-07-20,53.408653259277344
2018-07-23,53.74007034301758
2018-07-24,54.73431396484375
2018-07-25,55.58409118652344
2018-07-26,55.49060821533203
2018-07-27,54.623836517333984
2018-07-30,56.73978042602539
2018-07-31,56.93523406982422
2018-08-01,58.91524124145508
2018-08-02,58.49034118652344
2018-08-03,58.80474090576172
2018-08-06,58.68578338623047
2018-08-07,58.46484375
2018-08-08,56.57832717895508
2018-08-09,56.54433822631836
2018-08-10,55.62657928466797
2018-08-13,55.609580993652344
2018-08-14,57.26665115356445
2018-08-15,57.08821105957031
2018-08-16,57.691551208496094
2018-08-17,58.26089859008789
2018-08-20,58.36286544799805
2018-08-21,57.99746322631836
2018-08-22,57.95497512817383
2018-08-23,57.8700065612793
2018-08-24,57.810508728027344
2018-08-27,57.77651596069336
2018-08-28,56.9437370300293
2018-08-29,57.309139251708984
2018-08-30,57.22364044189453
2018-08-31,57.061195373535156
2018-09-04,55.479488372802734
2018-09-05,56.1292839050293
2018-09-06,56.77906799316406
2018-09-07,54.53046417236328
2018-09-10,55.34269714355469
2018-09-11,53.718238830566406
2018-09-12,53.93198776245117
2018-09-13,54.27398681640625
2018-09-14,53.983272552490234
2018-09-17,54.75276184082031
2018-09-18,54.6074104309082
2018-09-19,54.95795440673828
2018-09-20,55.5051383972168
2018-09-21,55.385440826416016
2018-09-24,53.41899490356445
2018-09-25,52.8718147277832
2018-09-26,53.23945617675781
2018-09-27,52.786312103271484
2018-09-28,52.581111907958984
2018-10-01,52.33317947387695
2018-10-02,53.05990219116211
2018-10-03,52.4528694152832
2018-10-04,52.469970703125
2018-10-05,52.914554595947266
2018-10-08,53.649837493896484
2018-10-09,52.77777099609375
2018-10-10,52.41867446899414
2018-10-11,50.948116302490234
2018-10-12,50.72581100463867
2018-10-15,51.01650619506836
2018-10-16,51.495296478271484
2018-10-17,50.93101501464844
2018-10-18,50.41802978515625
2018-10-19,51.213157653808594
2018-10-22,50.3496208190918
2018-10-23,49.845191955566406
2018-10-24,50.73436737060547
2018-10-25,48.5883674621582
2018-10-26,47.622249603271484
2018-10-29,48.3831787109375
2018-10-30,49.76824188232422
2018-10-31,54.71856689453125
2018-11-01,56.41996383666992
2018-11-02,53.966182708740234
2018-11-05,53.94053649902344
2018-11-06,53.56434631347656
2018-11-07,54.393672943115234
2018-11-08,54.69290542602539
2018-11-09,55.14604187011719
2018-11-12,56.00102233886719
2018-11-13,55.13749694824219
2018-11-14,55.35979080200195
2018-11-15,55.30849075317383
2018-11-16,55.35124206542969
2018-11-19,56.761959075927734
2018-11-20,55.47093963623047
2018-11-21,54.82970428466797
2018-11-23,54.80405807495117
2018-11-26,55.55644226074219
2018-11-27,55.71887969970703
2018-11-28,56.3515739440918
