,AMT
2015-05-27,76.61356353759766
2015-05-28,76.16271209716797
2015-05-29,74.70545196533203
2015-06-01,75.86482238769531
2015-06-02,75.80042266845703
2015-06-03,74.61691284179688
2015-06-04,76.21905517578125
2015-06-05,74.48809814453125
2015-06-08,74.73768615722656
2015-06-09,74.12580871582031
2015-06-10,74.63301086425781
2015-06-11,75.21269226074219
2015-06-12,75.03555297851562
2015-06-15,74.63111877441406
2015-06-16,75.44003295898438
2015-06-17,76.13570404052734
2015-06-18,77.80207061767578
2015-06-19,77.6322250366211
2015-06-22,77.48662567138672
2015-06-23,77.85871124267578
2015-06-24,76.91226959228516
2015-06-25,76.63724517822266
2015-06-26,76.2327880859375
2015-06-29,75.18118286132812
2015-06-30,75.46429443359375
2015-07-01,76.04673767089844
2015-07-02,76.7747573852539
2015-07-06,76.8313980102539
2015-07-07,77.35717010498047
2015-07-08,76.42695617675781
2015-07-09,76.35411071777344
2015-07-10,77.18729400634766
2015-07-13,77.41378784179688
2015-07-14,77.23583984375
2015-07-15,77.61600494384766
2015-07-16,79.12873077392578
2015-07-17,78.42493438720703
2015-07-20,78.51394653320312
2015-07-21,78.42493438720703
2015-07-22,78.09327697753906
2015-07-23,79.2743148803711
2015-07-24,78.29552459716797
2015-07-27,78.04476928710938
2015-07-28,78.20655059814453
2015-07-29,77.91532135009766
2015-07-30,76.80711364746094
2015-07-31,76.9365463256836
2015-08-03,77.13876342773438
2015-08-04,77.75352478027344
2015-08-05,78.17417907714844
2015-08-06,79.56555938720703
2015-08-07,80.60904693603516
2015-08-10,81.28852844238281
2015-08-11,81.70108795166016
2015-08-12,80.86791229248047
2015-08-13,81.09440612792969
2015-08-14,81.76577758789062
2015-08-17,82.06507873535156
2015-08-18,81.28852844238281
2015-08-19,81.2157211303711
2015-08-20,79.9619140625
2015-08-21,78.22273254394531
2015-08-24,74.37226104736328
2015-08-25,72.40658569335938
2015-08-26,74.04061126708984
2015-08-27,75.9334716796875
2015-08-28,75.59370422363281
2015-08-31,74.5744857788086
2015-09-01,72.82721710205078
2015-09-02,73.74939727783203
2015-09-03,73.62803649902344
2015-09-04,72.01020812988281
2015-09-08,72.8434066772461
2015-09-09,71.75133514404297
2015-09-10,71.4439468383789
2015-09-11,72.20436096191406
2015-09-14,71.85649871826172
2015-09-15,72.43892669677734
2015-09-16,73.28831481933594
2015-09-17,74.03250122070312
2015-09-18,73.19932556152344
2015-09-21,73.49201202392578
2015-09-22,72.40254211425781
2015-09-23,72.12608337402344
2015-09-24,71.5732192993164
2015-09-25,72.23178100585938
2015-09-28,70.90652465820312
2015-09-29,70.74388122558594
2015-09-30,71.53253936767578
2015-10-01,71.8577880859375
2015-10-02,72.96354675292969
2015-10-05,75.98809051513672
2015-10-06,75.91490936279297
2015-10-07,76.6222915649414
2015-10-08,77.7036361694336
2015-10-09,77.19145202636719
2015-10-12,77.0776138305664
2015-10-13,76.18324279785156
2015-10-14,75.66287231445312
2015-10-15,76.95564270019531
2015-10-16,78.15895080566406
2015-10-19,78.69557189941406
2015-10-20,78.79312896728516
2015-10-21,78.10203552246094
2015-10-22,80.87456512451172
2015-10-23,80.63063049316406
2015-10-26,80.92333221435547
2015-10-27,80.7119369506836
2015-10-28,82.01283264160156
2015-10-29,82.8990707397461
2015-10-30,83.11859893798828
2015-11-02,84.60647583007812
2015-11-03,83.97230529785156
2015-11-04,83.11859893798828
2015-11-05,82.01283264160156
2015-11-06,79.7037353515625
2015-11-09,78.95573425292969
2015-11-10,78.9720230102539
2015-11-11,79.37042999267578
2015-11-12,79.15087890625
2015-11-13,78.36223602294922
2015-11-16,79.72003173828125
2015-11-17,79.96392822265625
2015-11-18,81.02904510498047
2015-11-19,81.00464630126953
2015-11-20,81.703857421875
2015-11-23,81.2566909790039
2015-11-24,80.70381927490234
2015-11-25,80.5655746459961
2015-11-27,81.04531860351562
2015-11-30,80.8013687133789
2015-12-01,82.25675201416016
2015-12-02,80.86641693115234
2015-12-03,79.58992767333984
2015-12-04,79.31351470947266
2015-12-07,79.42730712890625
2015-12-08,78.76874542236328
2015-12-09,77.67926788330078
2015-12-10,77.29710388183594
2015-12-11,76.16697692871094
2015-12-14,76.86170959472656
2015-12-15,78.14493560791016
2015-12-16,79.68963623046875
2015-12-17,78.53722381591797
2015-12-18,77.31939697265625
2015-12-21,78.10404968261719
2015-12-22,78.80693054199219
2015-12-23,80.50699615478516
2015-12-24,80.2127456665039
2015-12-28,80.4007339477539
2015-12-29,81.25074005126953
2015-12-30,80.18003845214844
2015-12-31,79.24011993408203
2016-01-04,79.03580474853516
2016-01-05,80.59690856933594
2016-01-06,80.31083679199219
2016-01-07,78.30838012695312
2016-01-08,77.01698303222656
2016-01-11,77.22132110595703
2016-01-12,77.22132110595703
2016-01-13,75.31694793701172
2016-01-14,75.36599731445312
2016-01-15,72.24378204345703
2016-01-19,74.30345916748047
2016-01-20,72.74237060546875
2016-01-21,73.57601165771484
2016-01-22,76.21599578857422
2016-01-25,74.47511291503906
2016-01-26,75.5784912109375
2016-01-27,75.61119079589844
2016-01-28,75.61119079589844
2016-01-29,77.10691833496094
2016-02-01,76.09341430664062
2016-02-02,74.6630859375
2016-02-03,73.96017456054688
2016-02-04,74.45054626464844
2016-02-05,72.6115951538086
2016-02-08,69.80814361572266
2016-02-09,69.93892669677734
2016-02-10,70.15957641601562
2016-02-11,68.3778305053711
2016-02-12,70.02062225341797
2016-02-16,70.65814208984375
2016-02-17,70.4457015991211
2016-02-18,71.516357421875
2016-02-19,71.36923217773438
2016-02-22,72.93852233886719
2016-02-23,71.9413833618164
2016-02-24,72.76687622070312
2016-02-25,73.08563995361328
2016-02-26,73.56787109375
2016-02-29,75.35781860351562
2016-03-01,77.40113067626953
2016-03-02,77.33573150634766
2016-03-03,77.89154052734375
2016-03-04,78.41461944580078
2016-03-07,78.1367416381836
2016-03-08,77.31939697265625
2016-03-09,77.31939697265625
2016-03-10,77.4093017578125
2016-03-11,80.47431182861328
2016-03-14,80.14738464355469
2016-03-15,80.43343353271484
2016-03-16,81.57767486572266
2016-03-17,83.16333770751953
2016-03-18,82.14981079101562
2016-03-21,82.01087951660156
2016-03-22,81.6757583618164
2016-03-23,81.38970947265625
2016-03-24,82.01904296875
2016-03-28,81.92913818359375
2016-03-29,83.30226135253906
2016-03-30,83.62101745605469
2016-03-31,83.67002868652344
2016-04-01,85.41096496582031
2016-04-04,85.57444763183594
2016-04-05,85.0022964477539
2016-04-06,86.39176177978516
2016-04-07,85.81963348388672
2016-04-08,86.82162475585938
2016-04-11,87.06802368164062
