,ATO
2015-05-28,42.9582405090332
2015-05-29,42.98210906982422
2015-06-01,43.03781509399414
2015-06-02,42.32966995239258
2015-06-03,41.907958984375
2015-06-04,41.65333557128906
2015-06-05,40.92927932739258
2015-06-08,40.897457122802734
2015-06-09,40.87358093261719
2015-06-10,41.01681137084961
2015-06-11,41.3350715637207
2015-06-12,40.961097717285156
2015-06-15,40.92927932739258
2015-06-16,41.32710647583008
2015-06-17,41.47034454345703
2015-06-18,42.0830078125
2015-06-19,41.93183135986328
2015-06-22,41.971614837646484
2015-06-23,41.788597106933594
2015-06-24,41.3350715637207
2015-06-25,41.112281799316406
2015-06-26,41.175941467285156
2015-06-29,40.92132568359375
2015-06-30,40.80198287963867
2015-07-01,40.961097717285156
2015-07-02,41.51012420654297
2015-07-06,41.71699905395508
2015-07-07,42.8309440612793
2015-07-08,42.8309440612793
2015-07-09,42.122779846191406
2015-07-10,42.4330940246582
2015-07-13,42.59223175048828
2015-07-14,42.64792251586914
2015-07-15,42.71953201293945
2015-07-16,43.90509033203125
2015-07-17,43.09349822998047
2015-07-20,42.950294494628906
2015-07-21,42.64792251586914
2015-07-22,43.09349822998047
2015-07-23,42.616111755371094
2015-07-24,42.80706024169922
2015-07-27,43.19694900512695
2015-07-28,43.25265121459961
2015-07-29,43.50724792480469
2015-07-30,43.50724792480469
2015-07-31,44.000572204589844
2015-08-03,44.016475677490234
2015-08-04,43.491336822509766
2015-08-05,43.73799133300781
2015-08-06,43.666385650634766
2015-08-07,44.263145446777344
2015-08-10,43.96874237060547
2015-08-11,44.19948959350586
2015-08-12,45.591915130615234
2015-08-13,45.44868850708008
2015-08-14,45.6873893737793
2015-08-17,46.04544448852539
2015-08-18,45.591915130615234
2015-08-19,45.7271728515625
2015-08-20,45.070274353027344
2015-08-21,44.48546600341797
2015-08-24,44.30922317504883
2015-08-25,43.64430618286133
2015-08-26,44.00479507446289
2015-08-27,44.34125900268555
2015-08-28,44.5255012512207
2015-08-31,43.892642974853516
2015-09-01,42.931312561035156
2015-09-02,43.05949020385742
2015-09-03,42.827152252197266
2015-09-04,42.10617446899414
2015-09-08,43.02743148803711
2015-09-09,42.931312561035156
2015-09-10,42.68296813964844
2015-09-11,43.32386016845703
2015-09-14,43.48406982421875
2015-09-15,43.74043655395508
2015-09-16,44.277164459228516
2015-09-17,44.66169357299805
2015-09-18,44.47745132446289
2015-09-21,44.98214340209961
2015-09-22,45.32662582397461
2015-09-23,45.35065460205078
2015-09-24,45.56695556640625
2015-09-25,46.191810607910156
2015-09-28,46.14373779296875
2015-09-29,45.74319839477539
2015-09-30,46.60839080810547
2015-10-01,46.31999588012695
2015-10-02,47.20922088623047
2015-10-05,47.5536994934082
2015-10-06,46.9288330078125
2015-10-07,47.040992736816406
2015-10-08,47.69789505004883
2015-10-09,47.26528549194336
2015-10-12,47.713924407958984
2015-10-13,47.35342788696289
2015-10-14,47.137123107910156
2015-10-15,47.88215637207031
2015-10-16,48.667236328125
2015-10-19,48.81143569946289
2015-10-20,48.46696090698242
2015-10-21,48.31474685668945
2015-10-22,48.587127685546875
2015-10-23,48.010337829589844
2015-10-26,49.51640701293945
2015-10-27,49.56447219848633
2015-10-28,49.84486770629883
2015-10-29,49.772769927978516
2015-10-30,50.469730377197266
2015-11-02,50.49375534057617
2015-11-03,50.62192153930664
2015-11-04,50.50177001953125
2015-11-05,50.101219177246094
2015-11-06,47.91420364379883
2015-11-09,47.6578369140625
2015-11-10,48.81943893432617
2015-11-11,49.10784912109375
2015-11-12,48.531044006347656
2015-11-13,48.26668930053711
2015-11-16,48.95564270019531
2015-11-17,48.507015228271484
2015-11-18,49.58850860595703
2015-11-19,50.33057403564453
2015-11-20,50.419288635253906
2015-11-23,50.31442642211914
2015-11-24,50.5402717590332
2015-11-25,50.16118240356445
2015-11-27,50.685462951660156
2015-11-30,50.25796890258789
2015-12-01,50.48381423950195
2015-12-02,49.951473236083984
2015-12-03,49.31427764892578
2015-12-04,50.20957946777344
2015-12-07,49.991798400878906
2015-12-08,50.169246673583984
2015-12-09,50.459617614746094
2015-12-10,49.31427764892578
2015-12-11,49.048095703125
2015-12-14,49.08843231201172
2015-12-15,49.6772346496582
2015-12-16,51.024227142333984
2015-12-17,50.927433013916016
2015-12-18,50.661258697509766
2015-12-21,50.072452545166016
2015-12-22,50.354774475097656
2015-12-23,51.03228759765625
2015-12-24,50.95163345336914
2015-12-28,51.79853820800781
2015-12-29,51.8227424621582
2015-12-30,51.74208068847656
2015-12-31,50.84676742553711
2016-01-04,50.30636978149414
2016-01-05,50.49188232421875
2016-01-06,50.65318298339844
2016-01-07,50.16118240356445
2016-01-08,50.2176399230957
2016-01-11,50.387027740478516
2016-01-12,50.080528259277344
2016-01-13,49.798221588134766
2016-01-14,50.79838562011719
2016-01-15,50.790321350097656
2016-01-19,51.58882141113281
2016-01-20,50.32249450683594
2016-01-21,50.31442642211914
2016-01-22,51.637210845947266
2016-01-25,51.49203872680664
2016-01-26,52.75836181640625
2016-01-27,52.532527923583984
2016-01-28,54.194087982177734
2016-01-29,55.831443786621094
2016-02-01,55.323299407958984
2016-02-02,56.379913330078125
2016-02-03,56.23471450805664
2016-02-04,56.16212844848633
2016-02-05,56.081485748291016
2016-02-08,56.33959197998047
2016-02-09,57.1058349609375
2016-02-10,56.68640899658203
2016-02-11,56.6944694519043
2016-02-12,56.32345199584961
2016-02-16,56.80739212036133
2016-02-17,56.17020034790039
2016-02-18,57.46855926513672
2016-02-19,56.88428497314453
2016-02-22,57.09527587890625
2016-02-23,57.168312072753906
2016-02-24,57.66331100463867
2016-02-25,58.11774444580078
2016-02-26,56.924869537353516
2016-02-29,56.324378967285156
2016-03-01,56.210777282714844
2016-03-02,57.0709342956543
2016-03-03,56.494789123535156
2016-03-04,57.37118148803711
2016-03-07,57.35496139526367
2016-03-08,57.43610382080078
2016-03-09,57.54159164428711
2016-03-10,57.55781555175781
2016-03-11,57.57404708862305
2016-03-14,57.84996032714844
2016-03-15,58.19887924194336
2016-03-16,58.71010971069336
2016-03-17,59.188899993896484
2016-03-18,58.49102020263672
2016-03-21,57.87429428100586
2016-03-22,58.109615325927734
2016-03-23,58.2962760925293
2016-03-24,58.734439849853516
2016-03-28,58.88863754272461
2016-03-29,60.31682586669922
2016-03-30,60.089630126953125
2016-03-31,60.26001739501953
2016-04-01,60.503482818603516
2016-04-04,60.357391357421875
2016-04-05,59.407962799072266
2016-04-06,59.627071380615234
2016-04-07,59.756919860839844
2016-04-08,60.203224182128906
2016-04-11,59.83806228637695
2016-04-12,60.04091262817383
2016-04-13,59.959754943847656
2016-04-14,59.318702697753906
2016-04-15,59.7487907409668
2016-04-18,59.78936767578125
2016-04-19,60.081504821777344
2016-04-20,58.929203033447266
2016-04-21,57.29002380371094
2016-04-22,57.86617660522461
2016-04-25,57.87429428100586
2016-04-26,58.19076156616211
2016-04-27,58.2638053894043
2016-04-28,58.482887268066406
2016-04-29,58.87240982055664
2016-05-02,59.196990966796875
2016-05-03,59.091495513916016
2016-05-04,60.12207794189453
2016-05-05,59.70011901855469
2016-05-06,59.71634292602539
2016-05-09,60.29249954223633
2016-05-10,60.42232131958008
2016-05-11,60.479129791259766
2016-05-12,60.446651458740234
2016-05-13,60.26001739501953
2016-05-16,60.85239028930664
2016-05-17,59.042808532714844
2016-05-18,58.239437103271484
2016-05-19,58.680233001708984
2016-05-20,58.851654052734375
2016-05-23,58.32923889160156
2016-05-24,59.112831115722656
2016-05-25,58.65574645996094
2016-05-26,59.07202911376953
2016-05-27,59.33324432373047
2016-05-31,59.5046501159668
2016-06-01,59.5128059387207
2016-06-02,59.341392517089844
2016-06-03,60.99838638305664
2016-06-06,60.69636917114258
2016-06-07,60.77798843383789
2016-06-08,61.13715362548828
2016-06-09,62.353363037109375
2016-06-10,61.99419403076172
2016-06-13,61.82279586791992
2016-06-14,62.255401611328125
2016-06-15,62.035030364990234
2016-06-16,62.30439376831055
2016-06-17,62.01869583129883
2016-06-20,62.18193817138672
2016-06-21,62.549251556396484
2016-06-22,62.47579574584961
2016-06-23,62.794132232666016
2016-06-24,62.89208984375
2016-06-27,63.5614013671875
2016-06-28,63.855255126953125
2016-06-29,64.05117797851562
2016-06-30,66.37747192382812
2016-07-01,65.68364715576172
2016-07-05,66.22238159179688
2016-07-06,66.24686431884766
2016-07-07,64.97351837158203
2016-07-08,65.30004119873047
2016-07-11,65.37348175048828
2016-07-12,65.2265853881836
2016-07-13,65.904052734375
2016-07-14,65.37348175048828
2016-07-15,65.3489990234375
2016-07-18,65.21839141845703
2016-07-19,65.24288940429688
2016-07-20,65.02250671386719
2016-07-21,65.08777618408203
2016-07-22,65.71630859375
2016-07-25,65.25920867919922
2016-07-26,64.96534729003906
2016-07-27,64.3531723022461
2016-07-28,64.72864532470703
2016-07-29,65.12860107421875
2016-08-01,64.82659149169922
2016-08-02,64.66336822509766
2016-08-03,64.4103012084961
2016-08-04,64.49195861816406
2016-08-05,63.765464782714844
2016-08-08,63.35734176635742
2016-08-09,63.185951232910156
2016-08-10,63.16961669921875
2016-08-11,63.13694763183594
2016-08-12,63.06348419189453
2016-08-15,61.84726333618164
2016-08-16,60.63106918334961
2016-08-17,61.4228401184082
2016-08-18,62.39141845703125
2016-08-19,61.63625717163086
2016-08-22,61.751163482666016
2016-08-23,61.48028564453125
2016-08-24,61.33253479003906
2016-08-25,61.49671173095703
2016-08-26,60.56917953491211
2016-08-29,61.14375686645508
2016-08-30,60.65126037597656
2016-08-31,60.49528121948242
2016-09-01,60.12592697143555
2016-09-02,60.716915130615234
2016-09-06,61.30790328979492
2016-09-07,61.98100280761719
2016-09-08,61.88250732421875
2016-09-09,59.001380920410156
2016-09-12,60.10952377319336
2016-09-13,59.58417510986328
2016-09-14,59.62522888183594
2016-09-15,60.3393440246582
2016-09-16,60.81542205810547
2016-09-19,61.93174743652344
2016-09-20,61.72654342651367
2016-09-21,63.0891227722168
2016-09-22,63.73759078979492
2016-09-23,62.908538818359375
2016-09-26,62.93318557739258
2016-09-27,62.309329986572266
2016-09-28,62.251861572265625
2016-09-29,61.46385955810547
2016-09-30,61.127349853515625
2016-10-03,60.51993179321289
2016-10-04,58.500667572021484
2016-10-05,57.95893478393555
2016-10-06,58.06562042236328
2016-10-07,57.51566696166992
2016-10-10,58.032772064208984
2016-10-11,56.604549407958984
2016-10-12,57.48283004760742
2016-10-13,58.2872428894043
2016-10-14,58.3447265625
2016-10-17,58.83723068237305
2016-10-18,59.23943328857422
2016-10-19,59.362552642822266
2016-10-20,59.23943328857422
