,BALL
2021-02-22,84.02108001708984
2021-02-23,82.53278350830078
2021-02-24,82.29427337646484
2021-02-25,82.29427337646484
2021-02-26,81.60618591308594
2021-03-01,82.66700744628906
2021-03-02,82.5236587524414
2021-03-03,80.85118103027344
2021-03-04,79.79993438720703
2021-03-05,78.56710052490234
2021-03-08,78.93025207519531
2021-03-09,82.43762969970703
2021-03-10,81.4437255859375
2021-03-11,79.82860565185547
2021-03-12,80.88941192626953
2021-03-15,81.6157455444336
2021-03-16,80.18222045898438
2021-03-17,79.81905364990234
2021-03-18,78.96849060058594
2021-03-19,77.6496353149414
2021-03-22,80.5835952758789
2021-03-23,81.5488510131836
2021-03-24,81.56795501708984
2021-03-25,80.3255844116211
2021-03-26,80.36378479003906
2021-03-29,81.32902526855469
2021-03-30,80.78429412841797
2021-03-31,80.98499298095703
2021-04-01,82.44718933105469
2021-04-05,83.0206069946289
2021-04-06,84.09098052978516
2021-04-07,82.69567108154297
2021-04-08,83.74691772460938
2021-04-09,85.87811279296875
2021-04-12,86.68089294433594
2021-04-13,86.73823547363281
2021-04-14,85.50537872314453
2021-04-15,86.53753662109375
2021-04-16,86.97715759277344
2021-04-19,86.87202453613281
2021-04-20,88.20043182373047
2021-04-21,88.78340911865234
2021-04-22,88.58270263671875
2021-04-23,89.8155517578125
2021-04-26,88.78340911865234
2021-04-27,88.78340911865234
2021-04-28,87.30208587646484
2021-04-29,89.24212646484375
2021-04-30,89.49061584472656
2021-05-03,89.1274642944336
2021-05-04,89.50017547607422
2021-05-05,88.75473022460938
2021-05-06,86.54707336425781
2021-05-07,86.68089294433594
2021-05-10,85.8876724243164
2021-05-11,86.58531951904297
2021-05-12,83.93807220458984
2021-05-13,84.54014587402344
2021-05-14,85.15179443359375
2021-05-17,84.70260620117188
2021-05-18,83.192626953125
2021-05-19,82.01712799072266
2021-05-20,83.41243743896484
2021-05-21,82.9345932006836
2021-05-24,83.24995422363281
2021-05-25,82.06492614746094
2021-05-26,78.59577941894531
2021-05-27,78.98760223388672
2021-05-28,78.66209411621094
2021-06-01,78.71952819824219
2021-06-02,78.32698822021484
2021-06-03,79.82058715820312
2021-06-04,79.02590942382812
2021-06-07,77.89613342285156
2021-06-08,77.1589126586914
2021-06-09,77.45572662353516
2021-06-10,77.03446197509766
2021-06-11,78.05889129638672
2021-06-14,77.66634368896484
2021-06-15,77.94401550292969
2021-06-16,77.06317901611328
2021-06-17,76.5365982055664
2021-06-18,75.81851196289062
2021-06-21,76.55574035644531
2021-06-22,78.2025146484375
2021-06-23,78.02059173583984
2021-06-24,78.53760528564453
2021-06-25,79.2844009399414
2021-06-28,78.38443756103516
2021-06-29,78.1546401977539
2021-06-30,77.57061004638672
2021-07-01,78.88229370117188
2021-07-02,78.34613037109375
2021-07-06,78.57589721679688
2021-07-07,79.2939682006836
2021-07-08,81.65882873535156
2021-07-09,81.18009948730469
2021-07-12,81.15139770507812
2021-07-13,80.7205581665039
2021-07-14,80.9886245727539
2021-07-15,81.32371520996094
2021-07-16,82.0992431640625
2021-07-19,80.18439483642578
2021-07-20,80.82585906982422
2021-07-21,79.17909240722656
2021-07-22,78.2503890991211
2021-07-23,76.59404754638672
2021-07-26,77.7142333984375
2021-07-27,77.66634368896484
2021-07-28,77.7142333984375
2021-07-29,77.56105041503906
2021-07-30,77.43656158447266
2021-08-02,77.92486572265625
2021-08-03,77.01530456542969
2021-08-04,75.66534423828125
2021-08-05,77.34082794189453
2021-08-06,81.61095428466797
2021-08-09,83.6311264038086
2021-08-10,85.04810333251953
2021-08-11,85.7278823852539
2021-08-12,85.64171600341797
2021-08-13,84.90449523925781
2021-08-16,85.27787780761719
2021-08-17,85.58426666259766
2021-08-18,86.84805297851562
2021-08-19,88.56185913085938
2021-08-20,90.6011734008789
2021-08-23,90.81181335449219
2021-08-24,90.48628997802734
2021-08-25,90.6299057006836
2021-08-26,90.29479217529297
2021-08-27,90.35224914550781
2021-08-30,91.61604309082031
2021-08-31,92.06697845458984
2021-09-01,92.73858642578125
2021-09-02,93.82274627685547
2021-09-03,93.42936706542969
2021-09-07,92.99762725830078
2021-09-08,92.75776672363281
2021-09-09,91.58726501464844
2021-09-10,90.98281860351562
2021-09-13,90.24406433105469
2021-09-14,88.89127349853516
2021-09-15,89.42853546142578
2021-09-16,88.9872055053711
2021-09-17,88.61302947998047
2021-09-20,88.9872055053711
2021-09-21,88.77611541748047
2021-09-22,89.17910766601562
2021-09-23,89.46692657470703
2021-09-24,88.55545806884766
2021-09-27,87.13551330566406
2021-09-28,86.0705337524414
2021-09-29,86.09931945800781
2021-09-30,86.31999969482422
2021-10-01,86.2048568725586
2021-10-04,86.17609405517578
2021-10-05,87.7783203125
2021-10-06,88.69935607910156
2021-10-07,88.18128967285156
2021-10-08,87.69197845458984
2021-10-11,87.25062561035156
2021-10-12,86.79010772705078
2021-10-13,87.09711456298828
2021-10-14,88.28681945800781
2021-10-15,87.59602355957031
2021-10-18,86.45430755615234
2021-10-19,86.96281433105469
2021-10-20,88.82410430908203
2021-10-21,89.26544952392578
2021-10-22,88.4691162109375
2021-10-25,83.93101501464844
2021-10-26,85.52367401123047
2021-10-27,87.73992919921875
2021-10-28,88.08534240722656
2021-10-29,87.76873016357422
2021-11-01,89.1311264038086
2021-11-02,89.4477310180664
2021-11-03,90.30164337158203
2021-11-04,87.76873016357422
2021-11-05,86.81889343261719
2021-11-08,87.327392578125
2021-11-09,87.57683563232422
2021-11-10,87.54806518554688
2021-11-11,87.94142150878906
2021-11-12,89.77395629882812
2021-11-15,91.99022674560547
2021-11-16,92.94965362548828
2021-11-17,91.20349884033203
2021-11-18,90.39757537841797
2021-11-19,91.81752014160156
2021-11-22,91.10755920410156
2021-11-23,90.29202270507812
2021-11-24,89.8218994140625
2021-11-26,90.85809326171875
2021-11-29,90.96363830566406
2021-11-30,89.84833526611328
2021-12-01,87.40623474121094
2021-12-02,89.97333526611328
2021-12-03,89.6368179321289
2021-12-06,89.1080093383789
2021-12-07,89.84833526611328
2021-12-08,90.31946563720703
2021-12-09,89.05033111572266
2021-12-10,89.89641571044922
2021-12-13,90.05023956298828
