,COR
2019-03-04,74.4762191772461
2019-03-05,73.7173843383789
2019-03-06,70.91342163085938
2019-03-07,70.63581848144531
2019-03-08,70.70984649658203
2019-03-11,72.13495635986328
2019-03-12,72.56990051269531
2019-03-13,73.83768463134766
2019-03-14,73.57856750488281
2019-03-15,74.1986083984375
2019-03-18,74.39293670654297
2019-03-19,75.02220153808594
2019-03-20,73.35648345947266
2019-03-21,74.36518096923828
2019-03-22,72.89379119873047
2019-03-25,71.34837341308594
2019-03-26,70.84866333007812
2019-03-27,70.79312133789062
2019-03-28,72.0794448852539
2019-03-29,73.58785247802734
2019-04-01,73.1899185180664
2019-04-02,68.93305969238281
2019-04-03,69.45128631591797
2019-04-04,70.30267333984375
2019-04-05,71.50569915771484
2019-04-08,72.29230499267578
2019-04-09,71.65374755859375
2019-04-10,68.47962188720703
2019-04-11,68.64619445800781
2019-04-12,69.16442108154297
2019-04-15,70.43223571777344
2019-04-16,69.72891998291016
2019-04-17,66.90645599365234
2019-04-18,67.04524993896484
2019-04-22,65.75894927978516
2019-04-23,67.9521484375
2019-04-24,68.56291198730469
2019-04-25,68.22052764892578
2019-04-26,68.52589416503906
2019-04-29,68.95156860351562
2019-04-30,69.18292236328125
2019-05-01,67.91512298583984
2019-05-02,71.31134796142578
2019-05-03,73.23619079589844
2019-05-06,72.46812438964844
2019-05-07,71.68150329589844
2019-05-08,72.84751892089844
2019-05-09,73.27320098876953
2019-05-10,71.69078063964844
2019-05-13,70.03430938720703
2019-05-14,70.96897888183594
2019-05-15,72.05166625976562
2019-05-16,71.80183410644531
2019-05-17,72.30410766601562
2019-05-20,73.69942474365234
2019-05-21,74.94588470458984
2019-05-22,76.09001922607422
2019-05-23,74.82496643066406
2019-05-24,75.04820251464844
2019-05-28,75.24354553222656
2019-05-29,72.88085174560547
2019-05-30,72.85293579101562
2019-05-31,72.42504119873047
2019-06-03,74.75984191894531
2019-06-04,76.47139739990234
2019-06-05,75.95050048828125
2019-06-06,76.04351806640625
2019-06-07,77.65275573730469
2019-06-10,78.85267639160156
2019-06-11,78.80620574951172
2019-06-12,79.42011260986328
2019-06-13,80.4061508178711
2019-06-14,79.11315155029297
2019-06-17,79.38291931152344
2019-06-18,79.48523712158203
2019-06-19,80.05265808105469
2019-06-20,79.58757781982422
2019-06-21,78.56433868408203
2019-06-24,77.68997192382812
2019-06-25,78.39690399169922
2019-06-26,77.93180847167969
2019-06-27,79.65266418457031
2019-06-28,79.30850219726562
2019-07-01,79.6154556274414
2019-07-02,79.49453735351562
2019-07-03,81.4758529663086
2019-07-05,81.82933044433594
2019-07-08,81.6990966796875
2019-07-09,82.0711669921875
2019-07-10,83.0665054321289
2019-07-11,84.21063232421875
2019-07-12,83.5781021118164
2019-07-15,83.65251159667969
2019-07-16,82.78743743896484
2019-07-17,79.49453735351562
2019-07-18,80.70379638671875
2019-07-19,79.55033874511719
2019-07-22,79.11315155029297
2019-07-23,79.8200912475586
2019-07-24,80.82471466064453
2019-07-25,79.9317398071289
2019-07-26,80.10847473144531
2019-07-29,81.14098358154297
2019-07-30,82.5270004272461
2019-07-31,81.06657409667969
2019-08-01,85.2989501953125
2019-08-02,84.12691497802734
2019-08-05,82.50838470458984
2019-08-06,78.23880767822266
2019-08-07,79.85730743408203
2019-08-08,81.75492858886719
2019-08-09,81.34561920166016
2019-08-12,81.280517578125
2019-08-13,83.02928924560547
2019-08-14,80.31309509277344
2019-08-15,79.96894836425781
2019-08-16,81.62308502197266
2019-08-19,82.00626373291016
2019-08-20,80.65115356445312
2019-08-21,80.66986846923828
2019-08-22,79.95024871826172
2019-08-23,78.07180786132812
2019-08-26,80.27732849121094
2019-08-27,75.95974731445312
2019-08-28,75.70742797851562
2019-08-29,76.54851531982422
2019-08-30,76.88493347167969
2019-09-03,78.53907775878906
2019-09-04,79.60446166992188
2019-09-05,80.4081802368164
2019-09-06,80.66986846923828
2019-09-09,81.42683410644531
2019-09-10,80.2586669921875
2019-09-11,82.04362487792969
2019-09-12,79.09981536865234
2019-09-13,77.95967102050781
2019-09-16,78.30545043945312
2019-09-17,77.73538208007812
2019-09-18,77.5671615600586
2019-09-19,79.09046173095703
2019-09-20,79.54839324951172
2019-09-23,78.36152648925781
2019-09-24,77.28681182861328
2019-09-25,77.78209686279297
2019-09-26,76.63261413574219
2019-09-27,75.64200592041016
2019-09-30,76.94102478027344
2019-10-01,76.74476623535156
2019-10-02,75.67939758300781
2019-10-03,76.01582336425781
2019-10-04,76.49243927001953
2019-10-07,76.50178527832031
2019-10-08,74.92240905761719
