,META
2021-04-09,311.2709655761719
2021-04-12,310.3544921875
2021-04-13,308.58123779296875
2021-04-14,301.66766357421875
2021-04-15,306.64862060546875
2021-04-16,305.0148620605469
2021-04-19,301.08984375
2021-04-20,301.498291015625
2021-04-21,300.3227844238281
2021-04-22,295.3916015625
2021-04-23,299.9841003417969
2021-04-26,301.8868103027344
2021-04-27,302.414794921875
2021-04-28,305.9313659667969
2021-04-29,328.256103515625
2021-04-30,323.8429260253906
2021-05-03,321.3524475097656
2021-05-04,317.1484680175781
2021-05-05,313.8211975097656
2021-05-06,318.8022155761719
2021-05-07,317.8657531738281
2021-05-10,304.8056945800781
2021-05-11,305.363525390625
2021-05-12,301.3986511230469
2021-05-13,304.0983581542969
2021-05-14,314.73773193359375
2021-05-17,314.2595520019531
2021-05-18,308.78045654296875
2021-05-19,312.39666748046875
2021-05-20,317.3975524902344
2021-05-21,315.026611328125
2021-05-24,323.3946228027344
2021-05-25,326.54266357421875
2021-05-26,326.4131164550781
2021-05-27,331.4837341308594
2021-05-28,327.4790344238281
2021-06-01,327.8775329589844
2021-06-02,327.8974304199219
2021-06-03,324.79925537109375
2021-06-04,329.0929260253906
2021-06-07,335.2991943359375
2021-06-08,332.41021728515625
2021-06-09,328.9932556152344
2021-06-10,331.1948547363281
2021-06-11,329.99945068359375
2021-06-14,335.48846435546875
2021-06-15,335.4685363769531
2021-06-16,329.820068359375
2021-06-17,335.2294616699219
2021-06-18,328.405517578125
2021-06-21,331.0255126953125
2021-06-22,337.7398376464844
2021-06-23,339.29388427734375
2021-06-24,341.8740539550781
2021-06-25,340.0709228515625
2021-06-28,354.2866516113281
2021-06-29,350.5509338378906
2021-06-30,346.38677978515625
2021-07-01,353.04144287109375
2021-07-02,353.3502197265625
2021-07-06,351.4375305175781
2021-07-07,349.1562194824219
2021-07-08,344.33465576171875
2021-07-09,349.0865478515625
2021-07-12,351.81610107421875
2021-07-13,350.7501525878906
2021-07-14,346.3071594238281
2021-07-15,343.1492004394531
2021-07-16,339.86175537109375
2021-07-19,335.6678161621094
2021-07-20,340.35986328125
2021-07-21,344.9124450683594
2021-07-22,349.8536071777344
2021-07-23,368.3828125
2021-07-26,371.0426330566406
2021-07-27,366.41033935546875
2021-07-28,371.8595275878906
2021-07-29,356.9564208984375
2021-07-30,354.9441223144531
2021-08-02,350.6107177734375
2021-08-03,349.90338134765625
2021-08-04,357.55419921875
2021-08-05,361.5887756347656
2021-08-06,362.1266784667969
2021-08-09,360.2339172363281
2021-08-10,359.7557678222656
2021-08-11,358.5901794433594
2021-08-12,361.26995849609375
2021-08-13,361.7979736328125
2021-08-16,365.1650695800781
2021-08-17,357.0859680175781
2021-08-18,354.0973815917969
2021-08-19,353.76861572265625
2021-08-20,358.00244140625
2021-08-23,361.9673156738281
2021-08-24,364.1191101074219
2021-08-25,366.9881591796875
2021-08-26,362.993408203125
2021-08-27,371.21197509765625
2021-08-30,379.21142578125
2021-08-31,377.9363098144531
2021-09-01,380.59613037109375
2021-09-02,373.8518981933594
2021-09-03,374.82818603515625
2021-09-07,380.72564697265625
2021-09-08,376.1332092285156
2021-09-09,376.5615539550781
2021-09-10,377.24896240234375
2021-09-13,375.0772399902344
2021-09-14,375.09716796875
2021-09-15,372.4971008300781
2021-09-16,371.6403503417969
2021-09-17,363.3321228027344
2021-09-20,354.3464050292969
2021-09-21,356.11968994140625
2021-09-22,341.9039306640625
2021-09-23,344.64349365234375
2021-09-24,351.6168518066406
2021-09-27,352.2344665527344
2021-09-28,339.3536682128906
2021-09-29,338.317626953125
2021-09-30,338.0985107421875
2021-10-01,341.7047119140625
2021-10-04,324.9885559082031
2021-10-05,331.6929626464844
2021-10-06,332.3703918457031
2021-10-07,327.9671630859375
2021-10-08,328.7939758300781
2021-10-11,324.2115783691406
2021-10-12,322.53790283203125
2021-10-13,323.3050231933594
2021-10-14,327.27984619140625
2021-10-15,323.524169921875
2021-10-18,334.0638732910156
2021-10-19,338.6961975097656
2021-10-20,339.48321533203125
2021-10-21,340.5790100097656
2021-10-22,323.3747253417969
2021-10-25,327.4391784667969
2021-10-26,314.60821533203125
2021-10-27,311.0318908691406
2021-10-28,315.7139892578125
2021-10-29,322.33868408203125
2021-11-01,328.72430419921875
2021-11-02,326.8315124511719
2021-11-03,330.3580322265625
2021-11-04,334.57196044921875
2021-11-05,339.8318786621094
2021-11-08,337.3314208984375
2021-11-09,334.09375
2021-11-10,326.3931884765625
2021-11-11,326.4927673339844
2021-11-12,339.5928039550781
2021-11-15,346.23736572265625
2021-11-16,341.6549377441406
2021-11-17,339.4732360839844
2021-11-18,337.4011535644531
2021-11-19,343.98602294921875
2021-11-22,339.71234130859375
2021-11-23,335.9666442871094
2021-11-24,339.76214599609375
2021-11-26,331.8523864746094
