,GS
2015-11-19,159.9750518798828
2015-11-20,158.68222045898438
2015-11-23,156.79263305664062
2015-11-24,156.36170959472656
2015-11-25,156.75949096679688
2015-11-27,157.85354614257812
2015-11-30,158.01979064941406
2015-12-01,160.55618286132812
2015-12-02,158.21939086914062
2015-12-03,154.01150512695312
2015-12-04,157.99484252929688
2015-12-07,154.252685546875
2015-12-08,152.11550903320312
2015-12-09,150.2776336669922
2015-12-10,151.4418487548828
2015-12-11,146.82652282714844
2015-12-14,146.69345092773438
2015-12-15,151.3587188720703
2015-12-16,154.85137939453125
2015-12-17,151.85768127441406
2015-12-18,145.93675231933594
2015-12-21,147.8160858154297
2015-12-22,149.72882080078125
2015-12-23,152.1404266357422
2015-12-24,151.74124145507812
2015-12-28,151.03436279296875
2015-12-29,152.6227569580078
2015-12-30,151.3587188720703
2015-12-31,149.87844848632812
2016-01-04,147.30880737304688
2016-01-05,144.77249145507812
2016-01-06,141.2382049560547
2016-01-07,136.89724731445312
2016-01-08,136.33180236816406
2016-01-11,137.8203125
2016-01-12,137.80374145507812
2016-01-13,132.2153778076172
2016-01-14,134.21121215820312
2016-01-15,129.40460205078125
2016-01-19,130.4108428955078
2016-01-20,127.85781860351562
2016-01-21,126.11146545410156
2016-01-22,130.444091796875
2016-01-25,125.67073059082031
2016-01-26,128.43994140625
2016-01-27,127.83287811279297
2016-01-28,130.61041259765625
2016-01-29,134.3525390625
2016-02-01,132.7642364501953
2016-02-02,126.15306091308594
2016-02-03,126.96802520751953
2016-02-04,130.13638305664062
2016-02-05,130.1197509765625
2016-02-08,124.11563110351562
2016-02-09,123.28410339355469
2016-02-10,122.435791015625
2016-02-11,116.99720764160156
2016-02-12,121.52107238769531
2016-02-16,123.92436218261719
2016-02-17,125.52104949951172
2016-02-18,122.85162353515625
2016-02-19,122.16970825195312
2016-02-22,123.73310089111328
2016-02-23,120.50655364990234
2016-02-24,121.04702758789062
2016-02-25,123.28410339355469
2016-02-26,124.94725036621094
2016-02-29,124.88878631591797
2016-03-01,129.1650848388672
2016-03-02,128.7891845703125
2016-03-03,129.7329559326172
2016-03-04,130.99415588378906
2016-03-07,129.7496795654297
2016-03-08,126.61766052246094
2016-03-09,125.20613861083984
2016-03-10,126.13323211669922
2016-03-11,128.57205200195312
2016-03-14,128.1962127685547
2016-03-15,126.97683715820312
2016-03-16,125.73233032226562
2016-03-17,127.7117919921875
2016-03-18,131.6289520263672
2016-03-21,130.53480529785156
2016-03-22,128.7891845703125
2016-03-23,128.68899536132812
2016-03-24,127.7869644165039
2016-03-28,128.4884796142578
2016-03-29,129.48243713378906
2016-03-30,130.7101593017578
2016-03-31,131.111083984375
2016-04-01,133.48304748535156
2016-04-04,131.77090454101562
2016-04-05,129.7496795654297
2016-04-06,129.61607360839844
2016-04-07,125.62377166748047
2016-04-08,125.51515197753906
2016-04-11,127.11882781982422
2016-04-12,128.88104248046875
2016-04-13,133.5081024169922
2016-04-14,134.3934326171875
2016-04-15,132.39727783203125
2016-04-18,132.8148956298828
2016-04-19,135.8466796875
2016-04-20,139.46316528320312
2016-04-21,138.0767059326172
2016-04-22,139.2710723876953
2016-04-25,137.88461303710938
2016-04-26,138.51104736328125
2016-04-27,139.41305541992188
2016-04-28,137.2164306640625
2016-04-29,137.0661163330078
2016-05-02,138.7949676513672
2016-05-03,136.2559814453125
2016-05-04,133.69186401367188
2016-05-05,133.2408447265625
2016-05-06,132.67298889160156
2016-05-09,131.55374145507812
2016-05-10,134.81944274902344
2016-05-11,133.14903259277344
2016-05-12,132.021484375
2016-05-13,129.74130249023438
2016-05-16,129.7747344970703
2016-05-17,129.1650848388672
2016-05-18,133.5832977294922
2016-05-19,129.20677185058594
2016-05-20,129.0481414794922
2016-05-23,129.83322143554688
2016-05-24,131.6205291748047
2016-05-25,134.67738342285156
2016-05-26,132.9818878173828
2016-05-27,133.78700256347656
2016-05-31,133.7450714111328
2016-06-01,134.156005859375
2016-06-02,133.5773468017578
2016-06-03,130.54995727539062
2016-06-06,131.71559143066406
2016-06-07,130.13059997558594
2016-06-08,129.68614196777344
2016-06-09,128.45333862304688
2016-06-10,125.70263671875
2016-06-13,124.64595794677734
2016-06-14,122.59967041015625
2016-06-15,122.57450866699219
2016-06-16,122.96867370605469
2016-06-17,122.138427734375
2016-06-20,123.90792083740234
2016-06-21,124.41111755371094
2016-06-22,124.23503112792969
2016-06-23,128.02565002441406
2016-06-24,118.96839141845703
2016-06-27,116.99762725830078
2016-06-28,119.42962646484375
2016-06-29,122.02100372314453
2016-06-30,124.60397338867188
2016-07-01,124.32723999023438
2016-07-05,121.14045715332031
2016-07-06,122.08808898925781
2016-07-07,123.27897644042969
2016-07-08,126.1135482788086
2016-07-11,127.63143157958984
2016-07-12,131.5982208251953
2016-07-13,132.4368438720703
2016-07-14,136.31129455566406
2016-07-15,135.5565643310547
2016-07-18,136.97381591796875
2016-07-19,135.36366271972656
2016-07-20,135.66554260253906
2016-07-21,134.22311401367188
2016-07-22,134.5250244140625
2016-07-25,134.60885620117188
2016-07-26,135.15403747558594
2016-07-27,135.01141357421875
2016-07-28,134.62562561035156
2016-07-29,133.1831817626953
2016-08-01,132.6549072265625
2016-08-02,130.87698364257812
2016-08-03,132.7890625
2016-08-04,132.54588317871094
2016-08-05,135.93394470214844
2016-08-08,136.5544891357422
2016-08-09,137.06605529785156
2016-08-10,136.01779174804688
2016-08-11,137.4182891845703
2016-08-12,136.90673828125
2016-08-15,138.8356170654297
2016-08-16,138.91944885253906
2016-08-17,138.93624877929688
2016-08-18,139.26333618164062
2016-08-19,139.4058837890625
2016-08-22,139.43104553222656
2016-08-23,139.2800750732422
2016-08-24,138.62596130371094
2016-08-25,139.12913513183594
2016-08-26,139.18783569335938
2016-08-29,139.9425811767578
2016-08-30,142.5946044921875
2016-08-31,142.67037963867188
2016-09-01,141.8705596923828
2016-09-02,142.4346466064453
2016-09-06,142.56094360351562
2016-09-07,142.84716796875
2016-09-08,144.52255249023438
2016-09-09,141.92111206054688
2016-09-12,144.01744079589844
2016-09-13,140.5992889404297
2016-09-14,139.8920440673828
2016-09-15,141.5085906982422
2016-09-16,139.75738525390625
2016-09-19,139.93417358398438
2016-09-20,140.15304565429688
2016-09-21,140.62448120117188
2016-09-22,141.45803833007812
2016-09-23,139.02491760253906
2016-09-26,135.95191955566406
2016-09-27,137.13906860351562
2016-09-28,137.61048889160156
2016-09-29,133.82191467285156
2016-09-30,135.7751007080078
2016-10-03,135.60675048828125
2016-10-04,136.61703491210938
2016-10-05,140.0941162109375
2016-10-06,140.72555541992188
2016-10-07,142.9818878173828
2016-10-10,144.00062561035156
2016-10-11,142.31678771972656
2016-10-12,142.53565979003906
2016-10-13,140.9528350830078
2016-10-14,143.5628204345703
2016-10-17,142.28309631347656
2016-10-18,145.3392333984375
2016-10-19,146.92201232910156
2016-10-20,146.92201232910156
2016-10-21,147.0567169189453
2016-10-24,147.43560791015625
2016-10-25,147.79762268066406
2016-10-26,149.07733154296875
2016-10-27,149.6498565673828
2016-10-28,149.13624572753906
2016-10-31,150.06239318847656
2016-11-01,149.91078186035156
2016-11-02,148.664794921875
2016-11-03,148.35330200195312
2016-11-04,148.10914611816406
2016-11-07,152.79014587402344
2016-11-08,153.16061401367188
2016-11-09,162.17745971679688
2016-11-10,169.11483764648438
2016-11-11,171.6995391845703
2016-11-14,176.11114501953125
2016-11-15,177.80337524414062
2016-11-16,173.65272521972656
2016-11-17,176.48997497558594
2016-11-18,177.09617614746094
2016-11-21,177.71072387695312
2016-11-22,177.73602294921875
2016-11-23,178.74632263183594
2016-11-25,177.96328735351562
2016-11-28,177.09617614746094
2016-11-29,178.82742309570312
