,HST
2015-10-09,12.604072570800781
2015-10-12,12.618369102478027
2015-10-13,12.42534065246582
2015-10-14,12.353848457336426
2015-10-15,12.646968841552734
2015-10-16,12.561178207397461
2015-10-19,12.646968841552734
2015-10-20,12.646968841552734
2015-10-21,12.239463806152344
2015-10-22,12.561178207397461
2015-10-23,11.824807167053223
2015-10-26,11.653225898742676
2015-10-27,11.631778717041016
2015-10-28,11.839105606079102
2015-10-29,12.325250625610352
2015-10-30,12.389593124389648
2015-11-02,12.582625389099121
2015-11-03,12.518282890319824
2015-11-04,12.589776039123535
2015-11-05,12.74705982208252
2015-11-06,12.496832847595215
2015-11-09,12.253761291503906
2015-11-10,12.30380630493164
2015-11-11,12.260910987854004
2015-11-12,12.182271003723145
2015-11-13,11.867704391479492
2015-11-16,11.939196586608887
2015-11-17,11.717567443847656
2015-11-18,11.781912803649902
2015-11-19,11.610329627990723
2015-11-20,11.517393112182617
2015-11-23,11.624632835388184
2015-11-24,11.610329627990723
2015-11-25,11.810508728027344
2015-11-27,11.882004737854004
2015-11-30,11.867704391479492
2015-12-01,12.046432495117188
2015-12-02,11.72471809387207
2015-12-03,11.431600570678711
2015-12-04,11.681825637817383
2015-12-07,11.374407768249512
2015-12-08,11.438752174377441
2015-12-09,11.345809936523438
2015-12-10,11.53168773651123
2015-12-11,11.3029146194458
2015-12-14,11.231424331665039
2015-12-15,11.345809936523438
2015-12-16,11.453048706054688
2015-12-17,11.260017395019531
2015-12-18,10.959752082824707
2015-12-21,10.866814613342285
2015-12-22,11.031246185302734
2015-12-23,11.41015338897705
2015-12-24,11.40300464630127
2015-12-28,11.281468391418457
2015-12-29,11.534902572631836
2015-12-30,11.411805152893066
2015-12-31,11.107682228088379
2016-01-04,10.97734546661377
2016-01-05,11.14388656616211
2016-01-06,10.912174224853516
2016-01-07,10.535646438598633
2016-01-08,10.506681442260742
2016-01-11,10.680464744567871
2016-01-12,10.376343727111816
2016-01-13,9.746376991271973
2016-01-14,9.978089332580566
2016-01-15,9.529149055480957
2016-01-19,9.282950401306152
2016-01-20,9.290194511413574
2016-01-21,9.775341033935547
2016-01-22,9.992568969726562
2016-01-25,9.826027870178223
2016-01-26,10.043256759643555
2016-01-27,9.811544418334961
2016-01-28,9.55086898803711
2016-01-29,10.028776168823242
2016-02-01,9.927403450012207
2016-02-02,9.579834938049316
2016-02-03,9.876714706420898
2016-02-04,10.282208442687988
2016-02-05,10.246004104614258
2016-02-08,9.963605880737305
2016-02-09,10.028776168823242
2016-02-10,10.195316314697266
2016-02-11,10.050498962402344
2016-02-12,10.441512107849121
2016-02-16,10.745634078979492
2016-02-17,10.839767456054688
2016-02-18,11.093201637268066
2016-02-19,10.904934883117676
2016-02-22,11.093201637268066
2016-02-23,10.832528114318848
2016-02-24,10.89769458770752
2016-02-25,11.230781555175781
2016-02-26,11.14388656616211
2016-02-29,11.08596134185791
2016-03-01,11.476974487304688
2016-03-02,11.549384117126465
2016-03-03,11.665241241455078
2016-03-04,11.94039535522461
2016-03-07,12.193832397460938
2016-03-08,11.781096458435059
2016-03-09,11.708684921264648
2016-03-10,11.621794700622559
2016-03-11,12.041770935058594
2016-03-14,12.215555191040039
2016-03-15,11.991084098815918
2016-03-16,12.244521141052246
2016-03-17,12.128663063049316
2016-03-18,12.2879638671875
2016-03-21,12.179351806640625
2016-03-22,11.933155059814453
2016-03-23,11.71592903137207
2016-03-24,11.71592903137207
2016-03-28,11.831785202026367
2016-03-29,12.066365242004395
2016-03-30,12.066365242004395
2016-03-31,12.24230670928955
2016-04-01,11.7731351852417
2016-04-04,11.494569778442383
2016-04-05,11.318632125854492
2016-04-06,11.347952842712402
2016-04-07,11.208673477172852
2016-04-08,11.186678886413574
2016-04-11,11.38460636138916
2016-04-12,11.6265230178833
2016-04-13,11.802458763122559
2016-04-14,11.795127868652344
2016-04-15,11.883097648620605
2016-04-18,11.6265230178833
2016-04-19,11.6265230178833
2016-04-20,11.391936302185059
2016-04-21,11.42859172821045
2016-04-22,11.245325088500977
2016-04-25,11.194009780883789
2016-04-26,11.36994743347168
2016-04-27,11.685168266296387
2016-04-28,11.59720230102539
2016-04-29,11.59720230102539
2016-05-02,11.736483573913574
2016-05-03,11.809788703918457
2016-05-04,11.846445083618164
2016-05-05,11.86110782623291
2016-05-06,11.993060111999512
2016-05-09,12.029711723327637
2016-05-10,12.220312118530273
2016-05-11,11.780466079711914
2016-05-12,11.648513793945312
2016-05-13,11.443255424499512
2016-05-16,11.457915306091309
2016-05-17,11.355283737182617
2016-05-18,10.996081352233887
2016-05-19,10.746835708618164
2016-05-20,10.688189506530762
2016-05-23,10.83480453491211
2016-05-24,11.047391891479492
2016-05-25,11.252654075622559
2016-05-26,11.142696380615234
2016-05-27,11.2160005569458
2016-05-31,11.28930950164795
2016-06-01,11.318632125854492
2016-06-02,11.560546875
2016-06-03,11.472575187683105
2016-06-06,11.494569778442383
2016-06-07,11.538553237915039
2016-06-08,11.501901626586914
2016-06-09,11.42859172821045
2016-06-10,11.28930950164795
2016-06-13,11.27464771270752
2016-06-14,11.391936302185059
2016-06-15,11.714489936828613
2016-06-16,11.758477210998535
2016-06-17,12.051706314086914
2016-06-20,12.132342338562012
2016-06-21,12.205647468566895
2016-06-22,12.3156099319458
2016-06-23,12.425568580627441
2016-06-24,11.50922966003418
2016-06-27,10.842133522033691
2016-06-28,11.258281707763672
2016-06-29,11.927093505859375
2016-06-30,12.045990943908691
2016-07-01,12.224339485168457
2016-07-05,11.956817626953125
2016-07-06,12.083146095275879
2016-07-07,12.194615364074707
2016-07-08,12.454706192016602
2016-07-11,12.625627517700195
2016-07-12,12.75195598602295
2016-07-13,12.24663257598877
2016-07-14,12.417551040649414
2016-07-15,12.618191719055176
2016-07-18,12.699935913085938
2016-07-19,12.818836212158203
2016-07-20,12.722233772277832
2016-07-21,13.01204776763916
2016-07-22,13.309297561645508
2016-07-25,13.346453666687012
2016-07-26,13.078929901123047
2016-07-27,12.737092018127441
2016-07-28,12.841130256652832
2016-07-29,13.182963371276855
2016-08-01,13.294434547424316
2016-08-02,12.96003246307373
2016-08-03,13.041769981384277
2016-08-04,12.91544246673584
2016-08-05,13.257274627685547
2016-08-08,13.554529190063477
2016-08-09,13.509941101074219
2016-08-10,13.524805068969727
2016-08-11,13.368749618530273
2016-08-12,13.391037940979004
2016-08-15,13.509941101074219
2016-08-16,13.48764705657959
2016-08-17,13.324159622192383
2016-08-18,13.45048713684082
2016-08-19,13.524805068969727
2016-08-22,13.65113353729248
2016-08-23,13.606544494628906
2016-08-24,13.57681941986084
2016-08-25,13.480215072631836
2016-08-26,13.346453666687012
2016-08-29,13.383610725402832
2016-08-30,13.443058013916016
2016-08-31,13.242417335510254
2016-09-01,13.056636810302734
2016-09-02,12.937736511230469
2016-09-06,12.68507194519043
2016-09-07,12.677640914916992
2016-09-08,12.491863250732422
2016-09-09,12.038559913635254
2016-09-12,12.031129837036133
2016-09-13,11.904796600341797
2016-09-14,12.023697853088379
2016-09-15,11.96424674987793
2016-09-16,11.889935493469238
2016-09-19,11.904796600341797
2016-09-20,11.912230491638184
2016-09-21,11.875072479248047
2016-09-22,12.1203031539917
2016-09-23,12.075716018676758
2016-09-26,11.897367477416992
2016-09-27,11.696723937988281
2016-09-28,11.741884231567383
2016-09-29,11.779516220092773
2016-09-30,11.719305038452148
2016-10-03,11.726831436157227
2016-10-04,11.621455192565918
2016-10-05,11.59887409210205
2016-10-06,11.704251289367676
2016-10-07,11.659088134765625
2016-10-10,11.8096284866333
2016-10-11,11.628982543945312
2016-10-12,11.689197540283203
2016-10-13,11.674144744873047
2016-10-14,11.621455192565918
2016-10-17,11.659088134765625
2016-10-18,11.817152976989746
2016-10-19,11.832206726074219
2016-10-20,11.674144744873047
2016-10-21,11.644034385681152
2016-10-24,11.696722984313965
2016-10-25,11.591348648071289
2016-10-26,11.297801971435547
2016-10-27,11.207479476928711
2016-10-28,11.290273666381836
2016-10-31,11.65156078338623
2016-11-01,11.485970497131348
2016-11-02,11.470914840698242
2016-11-03,11.162321090698242
2016-11-04,11.410704612731934
2016-11-07,11.824679374694824
2016-11-08,12.020378112792969
2016-11-09,12.125754356384277
2016-11-10,12.095646858215332
2016-11-11,12.40424633026123
2016-11-14,13.081663131713867
2016-11-15,12.885967254638672
2016-11-16,12.780591011047363
2016-11-17,12.562312126159668
2016-11-18,12.35155963897705
2016-11-21,12.554784774780273
2016-11-22,12.74295711517334
2016-11-23,12.712846755981445
2016-11-25,12.750483512878418
2016-11-28,12.773062705993652
2016-11-29,13.021448135375977
2016-11-30,13.427896499633789
2016-12-01,13.653704643249512
2016-12-02,13.352629661560059
2016-12-05,13.751554489135742
2016-12-06,13.909615516662598
2016-12-07,14.240795135498047
2016-12-08,14.308539390563965
2016-12-09,14.43649673461914
2016-12-12,14.293484687805176
2016-12-13,14.338647842407227
2016-12-14,14.203166007995605
2016-12-15,14.240795135498047
2016-12-16,14.308539390563965
2016-12-19,14.43649673461914
2016-12-20,14.391340255737305
2016-12-21,14.428971290588379
2016-12-22,14.150474548339844
2016-12-23,14.24832820892334
2016-12-27,14.270902633666992
2016-12-28,14.164118766784668
2016-12-29,14.301416397094727
2016-12-30,14.370062828063965
2017-01-03,14.591254234313965
2017-01-04,14.751433372497559
2017-01-05,14.110730171203613
2017-01-06,13.92004680633545
2017-01-09,13.881909370422363
2017-01-10,13.752240180969238
2017-01-11,13.866655349731445
2017-01-12,13.744612693786621
2017-01-13,13.927671432495117
2017-01-17,13.843770980834961
2017-01-18,13.96580982208252
2017-01-19,13.897163391113281
2017-01-20,13.981064796447754
2017-01-23,13.912419319152832
2017-01-24,13.93529987335205
2017-01-25,14.095473289489746
2017-01-26,14.194632530212402
2017-01-27,14.179377555847168
2017-01-30,13.683594703674316
2017-01-31,13.782751083374023
2017-02-01,13.630205154418945
2017-02-02,13.660714149475098
2017-02-03,13.798006057739258
2017-02-06,13.63783073425293
2017-02-07,13.73698902130127
2017-02-08,13.981064796447754
2017-02-09,13.996316909790039
2017-02-10,14.003944396972656
2017-02-13,14.156498908996582
2017-02-14,14.301416397094727
2017-02-15,14.20226001739502
2017-02-16,14.171751022338867
2017-02-17,14.02683162689209
2017-02-21,14.255650520324707
2017-02-22,13.996316909790039
2017-02-23,13.752240180969238
2017-02-24,13.73698902130127
2017-02-27,13.889533042907715
2017-02-28,13.721736907958984
2017-03-01,14.02683162689209
2017-03-02,14.194632530212402
2017-03-03,14.019203186035156
2017-03-06,14.110730171203613
2017-03-07,13.866655349731445
2017-03-08,13.828516960144043
2017-03-09,13.607317924499512
2017-03-10,13.660714149475098
2017-03-13,13.630205154418945
2017-03-14,13.538674354553223
2017-03-15,13.98869514465332
2017-03-16,13.912419319152832
2017-03-17,14.064966201782227
2017-03-20,14.019203186035156
2017-03-21,13.706475257873535
2017-03-22,13.798006057739258
2017-03-23,13.744612693786621
2017-03-24,13.767496109008789
