,HUM
2014-10-13,116.0508804321289
2014-10-14,115.6504898071289
2014-10-15,115.62255859375
2014-10-16,117.0751724243164
2014-10-17,119.40308380126953
2014-10-20,121.14436340332031
2014-10-21,124.09617614746094
2014-10-22,122.42008972167969
2014-10-23,123.50020599365234
2014-10-24,123.94718170166016
2014-10-27,123.59330749511719
2014-10-28,125.45562744140625
2014-10-29,125.66047668457031
2014-10-30,127.73697662353516
2014-10-31,129.29200744628906
2014-11-03,128.94752502441406
2014-11-04,128.2677459716797
2014-11-05,129.37583923339844
2014-11-06,130.2418212890625
2014-11-07,121.5913314819336
2014-11-10,123.3418960571289
2014-11-11,127.0479507446289
2014-11-12,127.80220031738281
2014-11-13,128.88230895996094
2014-11-14,126.42405700683594
2014-11-17,128.00704956054688
2014-11-18,129.70176696777344
2014-11-19,127.15967559814453
2014-11-20,126.8244400024414
2014-11-21,127.0293197631836
2014-11-24,130.2138671875
2014-11-25,128.2119140625
2014-11-26,128.0256805419922
2014-11-28,128.47259521484375
2014-12-01,129.5062255859375
2014-12-02,130.47459411621094
2014-12-03,131.9551544189453
2014-12-04,131.40579223632812
2014-12-05,134.38555908203125
2014-12-08,134.61830139160156
2014-12-09,133.5753936767578
2014-12-10,131.70375061035156
2014-12-11,132.6721649169922
2014-12-12,133.715087890625
2014-12-15,133.2308807373047
2014-12-16,131.4337158203125
2014-12-17,133.4636993408203
2014-12-18,138.80853271484375
2014-12-19,136.38748168945312
2014-12-22,136.26644897460938
2014-12-23,134.73001098632812
2014-12-24,134.44140625
2014-12-26,135.08389282226562
2014-12-29,134.79461669921875
2014-12-30,135.99819946289062
2014-12-31,134.0016326904297
2015-01-02,133.40455627441406
2015-01-05,129.8686065673828
2015-01-06,129.7659454345703
2015-01-07,132.22898864746094
2015-01-08,137.92010498046875
2015-01-09,136.91250610351562
2015-01-12,135.75563049316406
2015-01-13,136.99642944335938
2015-01-14,137.65882873535156
2015-01-15,138.0040740966797
2015-01-16,139.888671875
2015-01-20,138.98362731933594
2015-01-21,143.00469970703125
2015-01-22,143.34994506835938
2015-01-23,141.31607055664062
2015-01-26,141.81051635742188
2015-01-27,140.6443328857422
2015-01-28,138.9276885986328
2015-01-29,139.59007263183594
2015-01-30,136.62322998046875
2015-02-02,136.19407653808594
2015-02-03,138.61978149414062
2015-02-04,140.44839477539062
2015-02-05,140.28048706054688
2015-02-06,137.83616638183594
2015-02-09,137.28567504882812
2015-02-10,141.48402404785156
2015-02-11,143.04205322265625
2015-02-12,143.42459106445312
2015-02-13,142.43565368652344
2015-02-17,144.4788055419922
2015-02-18,144.98263549804688
2015-02-19,143.00469970703125
2015-02-20,145.6543731689453
2015-02-23,153.4912567138672
2015-02-24,153.4165802001953
2015-02-25,154.28427124023438
2015-02-26,152.39976501464844
2015-02-27,153.36065673828125
2015-03-02,151.14016723632812
2015-03-03,149.50746154785156
2015-03-04,149.4794921875
2015-03-05,151.24281311035156
2015-03-06,149.02243041992188
2015-03-09,151.4573974609375
2015-03-10,148.34130859375
2015-03-11,150.2071990966797
2015-03-12,153.26734924316406
2015-03-13,155.33851623535156
2015-03-16,162.62498474121094
2015-03-17,162.3357696533203
2015-03-18,166.65538024902344
2015-03-19,168.8291778564453
2015-03-20,170.53652954101562
2015-03-23,169.8927764892578
2015-03-24,168.3160858154297
2015-03-25,165.4425811767578
2015-03-26,163.94044494628906
2015-03-27,165.8840789794922
2015-03-30,169.3042449951172
2015-03-31,166.35134887695312
2015-04-01,165.99624633789062
2015-04-02,166.31390380859375
2015-04-06,166.5756072998047
2015-04-07,166.42611694335938
2015-04-08,167.01483154296875
2015-04-09,166.0803680419922
2015-04-10,166.7812042236328
2015-04-13,166.87464904785156
2015-04-14,167.7810821533203
2015-04-15,165.1458740234375
2015-04-16,166.03366088867188
2015-04-17,165.84671020507812
2015-04-20,166.9867706298828
2015-04-21,168.32308959960938
2015-04-22,168.2108917236328
2015-04-23,169.98634338378906
2015-04-24,170.39755249023438
2015-04-27,168.3137664794922
2015-04-28,169.23883056640625
2015-04-29,157.03488159179688
2015-04-30,154.74546813964844
2015-05-01,155.4556427001953
2015-05-04,157.59552001953125
2015-05-05,153.48394775390625
2015-05-06,152.38131713867188
2015-05-07,153.7548828125
2015-05-08,156.89468383789062
2015-05-11,155.6985626220703
2015-05-12,162.01551818847656
2015-05-13,162.12765502929688
2015-05-14,162.82846069335938
2015-05-15,164.37030029296875
2015-05-18,165.03379821777344
2015-05-19,166.08970642089844
2015-05-20,166.8372802734375
2015-05-21,167.0428466796875
2015-05-22,167.2671356201172
2015-05-26,166.22052001953125
2015-05-27,166.8185272216797
2015-05-28,166.71585083007812
2015-05-29,200.58041381835938
2015-06-01,200.83267211914062
2015-06-02,200.66448974609375
2015-06-03,199.6085205078125
2015-06-04,199.0384979248047
2015-06-05,200.32803344726562
2015-06-08,198.41246032714844
2015-06-09,198.54327392578125
2015-06-10,200.39346313476562
2015-06-11,200.13177490234375
2015-06-12,198.54327392578125
2015-06-15,193.039306640625
2015-06-16,186.51687622070312
2015-06-17,187.72225952148438
2015-06-18,186.23651123046875
2015-06-19,189.04920959472656
2015-06-22,177.49009704589844
2015-06-23,177.41526794433594
2015-06-24,172.15426635742188
2015-06-25,184.43304443359375
2015-06-26,182.9544219970703
2015-06-29,180.5212860107422
2015-06-30,179.0052490234375
2015-07-01,180.74586486816406
2015-07-02,175.46774291992188
2015-07-06,176.83404541015625
2015-07-07,175.09347534179688
2015-07-08,173.9329833984375
2015-07-09,174.2137451171875
2015-07-10,175.23377990722656
2015-07-13,173.22183227539062
2015-07-14,174.19496154785156
2015-07-15,175.4490203857422
2015-07-16,174.45712280273438
2015-07-17,175.41165161132812
2015-07-20,174.2137451171875
2015-07-21,173.92364501953125
2015-07-22,174.1575927734375
2015-07-23,172.87551879882812
2015-07-24,170.0961151123047
2015-07-27,172.10812377929688
2015-07-28,172.6790313720703
2015-07-29,172.5761260986328
2015-07-30,171.9115753173828
2015-07-31,170.4049530029297
2015-08-03,170.6951141357422
2015-08-04,170.62954711914062
2015-08-05,173.633544921875
2015-08-06,172.6790313720703
2015-08-07,172.24853515625
2015-08-10,174.30735778808594
2015-08-11,173.89559936523438
2015-08-12,174.14822387695312
2015-08-13,174.12014770507812
2015-08-14,174.5413055419922
2015-08-17,177.57337951660156
2015-08-18,178.3033447265625
2015-08-19,177.24586486816406
