,FAST
2018-04-03,22.647958755493164
2018-04-04,22.89408302307129
2018-04-05,23.19027328491211
2018-04-06,22.38097381591797
2018-04-09,22.38097381591797
2018-04-10,22.702184677124023
2018-04-11,21.296337127685547
2018-04-12,21.15450096130371
2018-04-13,20.891687393188477
2018-04-16,21.137819290161133
2018-04-17,21.07941246032715
2018-04-18,21.14198875427246
2018-04-19,21.100271224975586
2018-04-20,21.062725067138672
2018-04-23,21.012662887573242
2018-04-24,20.63863754272461
2018-04-25,20.831958770751953
2018-04-26,20.953828811645508
2018-04-27,21.441320419311523
2018-04-30,21.008460998535156
2018-05-01,20.743703842163086
2018-05-02,20.65965461730957
2018-05-03,20.798337936401367
2018-05-04,21.28582763671875
2018-05-07,21.601024627685547
2018-05-08,21.563196182250977
2018-05-09,21.647249221801758
2018-05-10,21.571603775024414
2018-05-11,21.760717391967773
2018-05-14,21.760717391967773
2018-05-15,22.063297271728516
2018-05-16,22.281829833984375
2018-05-17,22.218793869018555
2018-05-18,22.172555923461914
2018-05-21,22.597023010253906
2018-05-22,22.14734649658203
2018-05-23,22.088512420654297
2018-05-24,22.189374923706055
2018-05-25,22.063297271728516
2018-05-29,22.063297271728516
2018-05-30,22.138948440551758
2018-05-31,22.370080947875977
2018-06-01,22.538185119628906
2018-06-04,22.470945358276367
2018-06-05,22.80294418334961
2018-06-06,21.890989303588867
2018-06-07,22.248212814331055
2018-06-08,22.19778060913086
2018-06-11,22.20618438720703
2018-06-12,22.475143432617188
2018-06-13,22.281829833984375
2018-06-14,22.185171127319336
2018-06-15,22.143150329589844
2018-06-18,22.0086669921875
2018-06-19,21.903602600097656
2018-06-20,22.172555923461914
2018-06-21,21.382484436035156
2018-06-22,21.260618209838867
2018-06-25,20.949626922607422
2018-06-26,20.768917083740234
2018-06-27,20.470535278320312
2018-06-28,20.487348556518555
2018-06-29,20.226789474487305
2018-07-02,20.172155380249023
2018-07-03,20.04187774658203
2018-07-05,20.205778121948242
2018-07-06,20.26041030883789
2018-07-09,20.85296630859375
2018-07-10,20.815143585205078
2018-07-11,22.90800666809082
2018-07-12,23.248411178588867
2018-07-13,23.21479034423828
2018-07-16,23.294641494750977
2018-07-17,23.50896644592285
2018-07-18,23.719093322753906
2018-07-19,23.878793716430664
2018-07-20,24.147750854492188
2018-07-23,24.332666397094727
2018-07-24,23.960268020629883
2018-07-25,24.34113121032715
2018-07-26,24.015287399291992
2018-07-27,23.913721084594727
2018-07-30,23.731760025024414
2018-07-31,24.09145736694336
2018-08-01,23.55824851989746
2018-08-02,23.875627517700195
2018-08-03,23.807926177978516
2018-08-06,24.015287399291992
2018-08-07,24.243799209594727
2018-08-08,24.455385208129883
2018-08-09,24.336898803710938
2018-08-10,24.421533584594727
2018-08-13,24.264957427978516
2018-08-14,24.688135147094727
2018-08-15,24.717756271362305
2018-08-16,25.098617553710938
2018-08-17,25.183256149291992
2018-08-20,25.449851989746094
2018-08-21,25.758769989013672
2018-08-22,25.703760147094727
2018-08-23,25.538721084594727
2018-08-24,25.170557022094727
2018-08-27,24.97589683532715
2018-08-28,24.861635208129883
2018-08-29,24.88703155517578
2018-08-30,24.616195678710938
2018-08-31,24.696598052978516
2018-09-04,24.98436164855957
2018-09-05,25.005517959594727
2018-09-06,24.971664428710938
2018-09-07,24.205713272094727
2018-09-10,24.616195678710938
2018-09-11,25.018213272094727
2018-09-12,24.865867614746094
2018-09-13,24.967430114746094
2018-09-14,24.442689895629883
2018-09-17,24.421533584594727
2018-09-18,24.578107833862305
2018-09-19,24.637359619140625
2018-09-20,24.84470558166504
2018-09-21,24.92511558532715
2018-09-24,24.41730308532715
2018-09-25,24.54002571105957
2018-09-26,24.44692611694336
2018-09-27,24.573877334594727
2018-09-28,24.552717208862305
2018-10-01,24.523096084594727
2018-10-02,24.48501205444336
2018-10-03,24.578107833862305
2018-10-04,24.032209396362305
2018-10-05,23.90526008605957
2018-10-08,23.98566246032715
2018-10-09,23.545557022094727
2018-10-10,21.86554718017578
2018-10-11,21.687808990478516
2018-10-12,22.034812927246094
2018-10-15,22.28872299194336
2018-10-16,22.40721321105957
2018-10-17,22.280261993408203
2018-10-18,22.23370361328125
2018-10-19,22.005191802978516
2018-10-22,21.81053352355957
2018-10-23,21.486404418945312
2018-10-24,20.752843856811523
2018-10-25,21.03006362915039
2018-10-26,21.047121047973633
2018-10-29,21.000207901000977
2018-10-30,21.88730239868164
2018-10-31,21.925687789916992
2018-11-01,22.096277236938477
2018-11-02,22.501440048217773
2018-11-05,22.45026397705078
2018-11-06,22.817039489746094
2018-11-07,23.324560165405273
2018-11-08,23.5122127532959
2018-11-09,23.354413986206055
2018-11-12,23.081464767456055
2018-11-13,23.33308982849121
2018-11-14,23.823551177978516
2018-11-15,24.314008712768555
2018-11-16,24.544309616088867
2018-11-19,24.51445770263672
2018-11-20,23.61884117126465
2018-11-21,24.194595336914062
2018-11-23,23.823551177978516
2018-11-26,24.578433990478516
2018-11-27,24.450489044189453
2018-11-28,25.19257354736328
2018-11-29,25.273605346679688
2018-11-30,25.273605346679688
2018-12-03,25.47405433654785
2018-12-04,24.42489242553711
2018-12-06,24.437686920166016
2018-12-07,23.563390731811523
2018-12-10,23.294706344604492
2018-12-11,23.409854888916016
2018-12-12,23.358675003051758
2018-12-13,23.341617584228516
2018-12-14,22.97484016418457
2018-12-17,22.590999603271484
2018-12-18,22.2796688079834
2018-12-19,21.95553970336914
2018-12-20,21.567432403564453
2018-12-21,21.50773048400879
2018-12-24,21.05138397216797
2018-12-26,22.0067138671875
2018-12-27,22.23275375366211
2018-12-28,22.202903747558594
2018-12-31,22.300992965698242
2019-01-02,21.925687789916992
2019-01-03,21.30301284790039
2019-01-04,22.17731285095215
2019-01-07,22.339370727539062
2019-01-08,22.919397354125977
2019-01-09,22.983369827270508
2019-01-10,23.23499870300293
2019-01-11,23.388534545898438
2019-01-14,23.060136795043945
2019-01-15,23.281909942626953
2019-01-16,23.081464767456055
2019-01-17,24.454748153686523
2019-01-18,25.311983108520508
2019-01-22,25.205368041992188
2019-01-23,25.12006950378418
2019-01-24,25.08168601989746
2019-01-25,25.388755798339844
2019-01-28,25.32904815673828
2019-01-29,25.5764102935791
2019-01-30,25.855628967285156
2019-01-31,25.971609115600586
2019-02-01,26.01027488708496
2019-02-04,26.383995056152344
2019-02-05,26.469905853271484
2019-02-06,26.42695426940918
2019-02-07,26.0961856842041
2019-02-08,26.066120147705078
2019-02-11,26.577301025390625
2019-02-12,27.002573013305664
2019-02-13,27.067005157470703
2019-02-14,26.792083740234375
2019-02-15,27.049821853637695
2019-02-19,26.830745697021484
2019-02-20,26.676105499267578
2019-02-21,26.826454162597656
2019-02-22,26.91666030883789
2019-02-25,27.019756317138672
2019-02-26,26.98109245300293
2019-02-27,27.286083221435547
2019-02-28,27.036935806274414
2019-03-01,26.73194694519043
2019-03-04,26.912364959716797
2019-03-05,26.620258331298828
2019-03-06,26.646032333374023
2019-03-07,26.42695426940918
2019-03-08,26.388288497924805
2019-03-11,26.512868881225586
2019-03-12,26.7061710357666
2019-03-13,26.925251007080078
2019-03-14,26.714759826660156
2019-03-15,26.7534236907959
2019-03-18,27.13144302368164
2019-03-19,26.903770446777344
2019-03-20,26.903770446777344
2019-03-21,27.440731048583984
2019-03-22,26.504276275634766
2019-03-25,26.590181350708008
2019-03-26,26.770605087280273
2019-03-27,26.942434310913086
2019-03-28,27.281787872314453
2019-03-29,27.625438690185547
2019-04-01,28.261201858520508
2019-04-02,28.355709075927734
2019-04-03,28.27408790588379
2019-04-04,28.488874435424805
2019-04-05,28.639217376708984
2019-04-08,28.604856491088867
2019-04-09,27.908960342407227
2019-04-10,28.00345802307129
2019-04-11,29.4167423248291
2019-04-12,29.945106506347656
2019-04-15,29.54130744934082
2019-04-16,29.863479614257812
2019-04-17,30.125513076782227
2019-04-18,30.533605575561523
2019-04-22,30.112640380859375
2019-04-23,30.730716705322266
2019-04-24,30.838762283325195
2019-04-25,30.670204162597656
2019-04-26,30.808504104614258
2019-04-29,30.441116333007812
2019-04-30,30.492984771728516
2019-05-01,29.939743041992188
2019-05-02,30.190425872802734
2019-05-03,30.63129997253418
2019-05-06,29.3735408782959
2019-05-07,28.742507934570312
2019-05-08,28.60419273376465
2019-05-09,28.530719757080078
2019-05-10,28.370800018310547
2019-05-13,27.566875457763672
2019-05-14,27.731117248535156
2019-05-15,27.80027198791504
2019-05-16,27.925613403320312
2019-05-17,27.735437393188477
2019-05-20,27.705177307128906
2019-05-21,28.09850311279297
2019-05-22,27.782981872558594
2019-05-23,27.0914306640625
2019-05-24,26.676504135131836
2019-05-28,26.26156997680664
2019-05-29,26.365306854248047
2019-05-30,26.55548095703125
2019-05-31,26.443105697631836
2019-06-03,26.676504135131836
2019-06-04,27.471782684326172
2019-06-05,27.81755828857422
2019-06-06,27.62738037109375
2019-06-07,27.8867130279541
2019-06-10,28.215198516845703
2019-06-11,27.96451187133789
2019-06-12,27.895360946655273
2019-06-13,28.292997360229492
2019-06-14,27.359411239624023
2019-06-17,27.0914306640625
2019-06-18,27.757049560546875
2019-06-19,28.007732391357422
2019-06-20,28.733861923217773
2019-06-21,28.180622100830078
2019-06-24,28.189268112182617
2019-06-25,27.782981872558594
2019-06-26,27.618736267089844
2019-06-27,27.843494415283203
2019-06-28,28.171974182128906
2019-07-01,28.232486724853516
2019-07-02,27.765689849853516
2019-07-03,27.8867130279541
2019-07-05,27.73975372314453
2019-07-08,27.515010833740234
2019-07-09,27.290250778198242
2019-07-10,27.013628005981445
2019-07-11,26.244285583496094
2019-07-12,26.754297256469727
2019-07-15,26.520902633666992
2019-07-16,27.039569854736328
2019-07-17,26.443105697631836
2019-07-18,26.192415237426758
2019-07-19,26.252925872802734
2019-07-22,26.486328125
2019-07-23,27.393985748291016
2019-07-24,27.794404983520508
2019-07-25,27.367868423461914
2019-07-26,27.53325843811035
2019-07-29,27.263410568237305
2019-07-30,27.515850067138672
2019-07-31,26.810758590698242
2019-08-01,25.79230308532715
2019-08-02,25.78360366821289
2019-08-05,24.86088752746582
2019-08-06,25.417997360229492
2019-08-07,25.47022247314453
2019-08-08,25.888051986694336
2019-08-09,25.888051986694336
2019-08-12,25.583391189575195
2019-08-13,26.079561233520508
2019-08-14,25.383176803588867
2019-08-15,25.487634658813477
2019-08-16,26.096965789794922
2019-08-19,26.688899993896484
2019-08-20,26.53220558166504
2019-08-21,26.78464698791504
2019-08-22,26.74983024597168
2019-08-23,25.818416595458984
2019-08-26,25.879348754882812
2019-08-27,25.853239059448242
2019-08-28,26.001218795776367
2019-08-29,26.584440231323242
2019-08-30,26.654081344604492
2019-09-03,25.87064552307129
2019-09-04,26.079561233520508
2019-09-05,27.037086486816406
2019-09-06,27.47232437133789
2019-09-09,27.916269302368164
2019-09-10,28.543020248413086
2019-09-11,29.16106605529785
2019-09-12,29.274219512939453
2019-09-13,29.28292465209961
2019-09-16,29.126239776611328
2019-09-17,29.22199249267578
2019-09-18,28.612655639648438
2019-09-19,28.203533172607422
2019-09-20,27.733470916748047
2019-09-23,28.099069595336914
2019-09-24,27.594196319580078
2019-09-25,27.942386627197266
2019-09-26,27.846635818481445
2019-09-27,28.055545806884766
2019-09-30,28.43855857849121
2019-10-01,27.132837295532227
2019-10-02,26.95003890991211
2019-10-03,26.993562698364258
2019-10-04,27.663829803466797
2019-10-07,27.01097297668457
2019-10-08,26.645370483398438
2019-10-09,26.680191040039062
2019-10-10,27.002267837524414
2019-10-11,31.633220672607422
2019-10-14,30.832380294799805
2019-10-15,31.163164138793945
2019-10-16,30.99776840209961
2019-10-17,31.354660034179688
2019-10-18,31.18927764892578
2019-10-21,32.024940490722656
2019-10-22,32.529808044433594
2019-10-23,32.78225326538086
2019-10-24,32.554595947265625
2019-10-25,32.554595947265625
2019-10-28,32.24814987182617
2019-10-29,32.160579681396484
2019-10-30,31.77531623840332
2019-10-31,31.468868255615234
2019-11-01,32.52832794189453
2019-11-04,32.65966796875
2019-11-05,32.642154693603516
2019-11-06,32.52832794189453
2019-11-07,32.51957702636719
2019-11-08,32.458274841308594
2019-11-11,32.24814987182617
2019-11-12,32.30942916870117
2019-11-13,31.538898468017578
2019-11-14,31.696517944335938
2019-11-15,31.810346603393555
2019-11-18,31.398807525634766
2019-11-19,31.28497886657715
2019-11-20,30.873445510864258
2019-11-21,30.768381118774414
2019-11-22,31.26746940612793
2019-11-25,31.582685470581055
2019-11-26,31.44258689880371
2019-11-27,31.33751678466797
2019-11-29,31.101112365722656
2019-12-02,30.610774993896484
2019-12-03,30.566999435424805
2019-12-04,30.698339462280273
2019-12-05,30.890968322753906
2019-12-06,31.468868255615234
2019-12-09,31.617717742919922
2019-12-10,31.468868255615234
2019-12-11,31.731542587280273
2019-12-12,32.96613311767578
2019-12-13,32.42325973510742
2019-12-16,32.75598907470703
2019-12-17,32.28316116333008
2019-12-18,32.256900787353516
2019-12-19,32.22186279296875
2019-12-20,32.50205993652344
2019-12-23,32.33570098876953
2019-12-24,32.40574264526367
2019-12-26,32.34444046020508
2019-12-27,32.37947463989258
2019-12-30,32.353214263916016
2019-12-31,32.353214263916016
2020-01-02,32.598384857177734
2020-01-03,32.02048873901367
2020-01-06,31.521394729614258
2020-01-07,31.460105895996094
2020-01-08,31.696517944335938
2020-01-09,31.714019775390625
2020-01-10,31.810346603393555
2020-01-13,32.03799057006836
2020-01-14,32.239383697509766
2020-01-15,32.21311950683594
2020-01-16,32.668418884277344
2020-01-17,32.22186279296875
2020-01-21,31.372543334960938
2020-01-22,31.460105895996094
2020-01-23,31.573938369750977
2020-01-24,31.101112365722656
2020-01-27,30.864702224731445
2020-01-28,31.320009231567383
2020-01-29,31.433834075927734
2020-01-30,31.865882873535156
2020-01-31,30.75489616394043
2020-02-03,31.61018180847168
2020-02-04,32.56245803833008
2020-02-05,33.19731140136719
2020-02-06,33.4177360534668
2020-02-07,32.93278884887695
2020-02-10,32.571258544921875
2020-02-11,33.347198486328125
2020-02-12,33.80569839477539
2020-02-13,33.717533111572266
2020-02-14,33.788063049316406
2020-02-18,33.76161193847656
2020-02-19,33.76161193847656
2020-02-20,34.40528106689453
2020-02-21,34.26420974731445
2020-02-24,33.2943000793457
2020-02-25,31.883522033691406
2020-02-26,31.707181930541992
2020-02-27,30.87834358215332
2020-02-28,30.172962188720703
2020-03-02,31.019424438476562
2020-03-03,30.322856903076172
2020-03-04,31.328025817871094
2020-03-05,30.719627380371094
2020-03-06,30.120054244995117
2020-03-09,27.501298904418945
2020-03-10,29.62627410888672
2020-03-11,29.0355224609375
2020-03-12,27.219141006469727
2020-03-13,30.058330535888672
2020-03-16,27.968618392944336
2020-03-17,30.428659439086914
2020-03-18,29.494016647338867
2020-03-19,28.480022430419922
2020-03-20,25.341049194335938
2020-03-23,24.847278594970703
2020-03-24,27.660011291503906
2020-03-25,26.65483283996582
2020-03-26,28.488842010498047
2020-03-27,27.369041442871094
2020-03-30,28.03915786743164
2020-03-31,27.554201126098633
2020-04-01,26.989892959594727
2020-04-02,27.025163650512695
2020-04-03,26.87526512145996
2020-04-06,28.374216079711914
2020-04-07,28.22431755065918
2020-04-08,28.647558212280273
2020-04-09,29.6439208984375
2020-04-13,28.453575134277344
2020-04-14,30.45511245727539
2020-04-15,30.472740173339844
